"timeindex","ar1","sd","sk","kurt","cv","returnrate","densratio","acf1","var","frequency"
68,-0.308107310663433,0.0177007147920287,0.0603715318317388,2.67729019481059,-86.3442016229079,-3.24562243540002,0.281820015728986,-0.306538457443659,"cleaf","1y"
69,-0.295538738417903,0.0177020808338284,0.060948595290215,2.67655490312328,-88.0386100815655,-3.38365117667235,0.296489407691069,-0.294998675740008,"cleaf","1y"
70,-0.268791007231355,0.0174242578932205,0.0935812971312063,2.73761474150439,36.2206891301071,-3.72036256086229,0.337003630228015,-0.265490912657141,"cleaf","1y"
71,-0.232990081087694,0.0172516277929862,0.0957539847535138,2.80180174965498,56.7232855157274,-4.29202820708756,0.389317800395372,-0.23164189077136,"cleaf","1y"
72,-0.216618027735794,0.0169334944737014,0.12066401097091,2.92934348093103,22.4427474316081,-4.6164209435961,0.414942301910047,-0.216503156068132,"cleaf","1y"
73,-0.216135254505064,0.0169588810872176,0.0617024911241826,2.90711660696567,62.6215402595126,-4.62673247032252,0.421323232430536,-0.21286295480051,"cleaf","1y"
74,-0.201867852255831,0.0169439059802376,0.0687344802597367,2.91764729082163,53.8821554827689,-4.95373576736073,0.441484798523483,-0.201676659810566,"cleaf","1y"
75,-0.203770036741452,0.0168227998319483,0.0160123969260707,2.96586768064761,-90.9594164424675,-4.90749285808307,0.440820729162544,-0.202037739695474,"cleaf","1y"
76,-0.19893438937991,0.0168322890444703,0.00296618672445058,2.95910443693772,-64.9248430482079,-5.02678296657032,0.446971275621569,-0.198712000231315,"cleaf","1y"
77,-0.196748036338319,0.0168323544730274,0.00310258967545771,2.95905909620474,-65.1173360168876,-5.0826428492554,0.450680038800434,-0.196726443620277,"cleaf","1y"
78,-0.159373926744431,0.0164415472260694,0.0467180600770119,3.03665932910229,539.933543263342,-6.27455205771256,0.528832369477673,-0.158000861067269,"cleaf","1y"
79,-0.143569630623444,0.0161191548311059,0.0721937159537208,3.15929152862684,-31.4892604116371,-6.96526135546596,0.562410655293869,-0.142954961058807,"cleaf","1y"
80,-0.164343469630126,0.0162896089658703,0.023811296130152,3.06731462902774,-274.748837047314,-6.08481737820564,0.524085510993767,-0.160198596931959,"cleaf","1y"
81,-0.110047857490318,0.016280927263234,0.0338311914659221,3.07187230305218,34.6447183465789,-9.08695564643757,0.647824475979686,-0.108157549781016,"cleaf","1y"
82,-0.128191629240699,0.0158810999209856,0.0616305735417694,3.20389479094103,162.323272366779,-7.80082136347884,0.597655530528779,-0.128033914398263,"cleaf","1y"
83,-0.102209021237892,0.0159849573928314,0.0637183162068621,3.14600437975792,75.6669317688491,-9.78387218553333,0.668902811699784,-0.100236889403204,"cleaf","1y"
84,-0.155153496359268,0.0160933711720572,0.0995513064695687,3.20066931774803,98.0360397865593,-6.44523019761304,0.563979996162596,-0.142272294030562,"cleaf","1y"
85,-0.172845332471664,0.0161823321450413,0.131598013322524,3.146028856884,40.6562223932487,-5.78551925990792,0.501429519229914,-0.170946585684334,"cleaf","1y"
86,-0.190323173404402,0.0164518768175122,0.10208292886868,3.0074646713212,-4859.03629929275,-5.25422092387657,0.474814135423185,-0.184154979304678,"cleaf","1y"
87,-0.144079511741541,0.016842342246101,0.100984000573098,2.87090199681612,-39.0211594122854,-6.94061208226372,0.574899244911085,-0.137570685390351,"cleaf","1y"
88,-0.169385027248369,0.0168791340386446,0.0954626645689594,2.86457293255265,-41.5488384883599,-5.90370953232898,0.516251740698169,-0.163865876285289,"cleaf","1y"
89,-0.175659403936297,0.0169254264601938,0.0886041248173276,2.83733678173219,-35.8135470453275,-5.69283498401629,0.495350962541153,-0.173905873291209,"cleaf","1y"
90,-0.183819951691219,0.0169469161608216,0.088902504315759,2.82775305701986,-37.7099977756504,-5.44010587969146,0.480452036866331,-0.181301772657075,"cleaf","1y"
91,-0.174379046155902,0.0169502910869648,0.116627134722887,2.82953484019943,-58.9034573713588,-5.73463396001123,0.494999211966584,-0.174078132974208,"cleaf","1y"
92,-0.171235545971801,0.0170982688301863,0.122366151454698,2.76536212249349,-156.413297701676,-5.83990896472325,0.508013795081817,-0.167777871701156,"cleaf","1y"
93,-0.154367922406151,0.0171294911423316,0.129625004595213,2.74904236688628,-354.878163244762,-6.47802979021083,0.538734755955695,-0.153474070247212,"cleaf","1y"
94,-0.157724788583779,0.0171984279100365,0.177396041354393,2.72642989551881,56.2850271629886,-6.34015749191401,0.533410214960697,-0.155898512705689,"cleaf","1y"
95,-0.126251124121433,0.0168839886471171,0.204981408604456,2.85790252724358,22.975116540496,-7.92072155364069,0.602072113925148,-0.126222396697585,"cleaf","1y"
96,-0.1179298739376,0.0166470254004269,0.208069751483882,2.9478613313508,35.4835419676786,-8.47961561062235,0.623228292079941,-0.117714112215232,"cleaf","1y"
97,-0.120884338354822,0.0168161383424762,0.197780361255266,2.86069113376251,59.0645985865817,-8.27237021445061,0.622528445626018,-0.117991197810902,"cleaf","1y"
98,-0.0913854610203897,0.0169609013717615,0.144798958913135,2.77615008412215,-120.266989279021,-10.9426596838734,0.698506446331178,-0.0895039990820875,"cleaf","1y"
99,-0.0827834514965616,0.0169319597197634,0.173941873814794,2.80065095341085,576.244789529403,-12.0797089505447,0.71777802103189,-0.0827478787390989,"cleaf","1y"
100,-0.103024934941215,0.0167037169776667,0.155376037092206,2.89122800408669,-52.7166579713991,-9.70638807557213,0.661416988394084,-0.103022417961612,"cleaf","1y"
101,-0.107420181968404,0.0166973733802416,0.155221519236004,2.89421308895298,-51.5132222696966,-9.3092376281222,0.65276984288681,-0.106277529793804,"cleaf","1y"
102,-0.116952008719376,0.0167761978835493,0.115858701419339,2.83880485519919,-28.9960829586744,-8.55051581370853,0.628084667620958,-0.115799386252259,"cleaf","1y"
103,-0.133666141840524,0.0170549973627786,0.125208502449642,2.73929690298307,-78.7722263916695,-7.48132613263494,0.594364132385741,-0.129392087324028,"cleaf","1y"
104,-0.0823244062491797,0.0171209048116916,0.169347081560194,2.74845836302682,37.5792439826601,-12.1470660471355,0.72612234700441,-0.0798763050605723,"cleaf","1y"
105,-0.0631158360373434,0.0170707198876803,0.166596831538954,2.77091444546,43.5265146086364,-15.8438842417985,0.777986315838471,-0.0627097063859289,"cleaf","1y"
106,-0.0540548513634563,0.0171920963082687,0.204630689859416,2.72356691993285,23.8139845677052,-18.4997271248821,0.808105287978475,-0.0532417142746672,"cleaf","1y"
107,-0.0584451691249875,0.0171802862860928,0.216050082458045,2.73413535049159,21.8333864182329,-17.1100540039752,0.791422714811419,-0.0584427574809312,"cleaf","1y"
108,-0.0580158646527787,0.0170834592891274,0.232375829953582,2.79163231370967,18.4220886515133,-17.2366645913999,0.79323280693803,-0.057873309957877,"cleaf","1y"
109,-0.0533410674653143,0.0171748792812274,0.197280605574186,2.72886673880214,24.6830348642551,-18.7472813634684,0.80960320623941,-0.0527798345337657,"cleaf","1y"
110,-0.0550806198390988,0.0171823996427337,0.14986414965687,2.71227611173159,44.1435128301997,-18.1552060038757,0.803191699782466,-0.0547626763842563,"cleaf","1y"
111,-0.0407743314779522,0.0170131683922621,0.124469168686319,2.78480926677156,183.950325864586,-24.5252334925645,0.849502739356107,-0.040774096838823,"cleaf","1y"
