"year","precipitation_7y","npp","photo","ar","lai","f5","evapm","cleaf","cwood","croot","csap","cheart","csto","ctotal","wue","ls","frequency"
1979,114.183200604202,1.72872455798218,2.52286353728405,0.849604976298544,7.41347708533436,0.882151726751225,1.74118769286678,0.255799265124896,33.4429170316872,0.338514588505451,3.86429767278657,29.5786193589006,22.8480883375083,56.8853192228258,0.00666891063451409,58,"7y"
1980,104.26198546731,1.72369355867192,2.52158114084866,0.855460790181625,7.38070541179947,0.878959467423558,1.72671601374787,0.257849685080034,34.8380602818234,0.341399062170433,3.89015962001454,30.9479006618088,22.8541528199436,58.2914618490175,0.00653033095757828,58,"7y"
1981,126.865711134178,1.75027683583561,2.540359778585,0.845342568477291,7.4219229977955,0.881704841020424,1.71635572349146,0.256769821046474,33.9295525631294,0.3397535698282,3.85406523362661,30.0754873295028,23.3753924871645,57.9014684411685,0.00669426630146891,58,"7y"
1982,137.33473079792,1.71506449456865,2.52555299499275,0.86844609636527,7.54225173368284,0.872982743059997,1.70061470841179,0.260909826813783,34.665204758309,0.345493150326897,3.96792625768688,30.6972785006221,22.302309189149,57.5739169245986,0.00697371597355133,58,"7y"
1983,147.053892549502,1.72597369334398,2.51592534866285,0.845553180826592,7.35135293463808,0.873236345759305,1.74334553825362,0.254869694364716,34.4571281978536,0.337312157840317,3.8460579349946,30.611070262859,22.9697381777807,58.0190482278394,0.00636013377850171,58,"7y"
1984,100.641730678967,1.79817963978747,2.59309584904351,0.851025694771747,7.53258551759589,0.892502678365732,1.65352987810753,0.261900317781662,31.774656682613,0.34660251114289,3.86660488896553,27.9080517936474,24.0148506595769,56.3980101711144,0.00784849319281875,58,"7y"
1985,144.748247347343,1.7938287832817,2.58926428704054,0.849585390882359,7.51901910144287,0.890309555903201,1.66598500727582,0.260212161112234,32.9338410717045,0.34415509861309,3.87096491705457,29.0628761546499,23.9119223463527,57.4501306777825,0.00838052012517859,58,"7y"
1986,168.995484157495,1.80398405665768,2.60287986079631,0.853387705812514,7.48709730519474,0.894335797050557,1.65203628736216,0.261511726838349,33.5747270854241,0.345816844267592,3.89594699693078,29.6787800884933,24.1924215450266,58.3744772015566,0.00890444032049304,58,"7y"
1987,223.002292385718,1.73984734493235,2.56454103005227,0.885158977391686,7.48096481188135,0.882262554444521,1.72815484608729,0.261445691932294,35.0395223353854,0.346439783724629,3.96341636485128,31.0761059705341,23.0487631546663,58.6961709657086,0.00815448355113797,58,"7y"
1988,121.503186693044,1.78340648694083,2.59318776941572,0.866673889519526,7.42981075063815,0.882891098503589,1.68857341580289,0.259494088861174,36.4711874871438,0.343334268370264,3.95005930446657,32.5211281826773,23.6778443365787,60.751860180954,0.00832543453963944,58,"7y"
1989,122.273731590303,1.80841832319968,2.61033010711334,0.858321249360733,7.55975191254427,0.888682337225536,1.65286416165417,0.261486195729742,32.9199909187622,0.34596582051813,3.91831118337603,29.0016797353861,24.2590390109581,57.7864819459681,0.00862485634450628,58,"7y"
1990,128.876985694478,1.74895256392742,2.57681847916334,0.887979276887795,7.66045022385435,0.870114890454782,1.69887349368492,0.263119559044475,34.9005401724943,0.348662906867883,4.02684712434935,30.8736930481449,22.9835095080961,58.4958321465027,0.00712173056322973,58,"7y"
1991,176.084091920347,1.73638890769973,2.54534299005736,0.867581087198828,7.43822477823889,0.864206542897307,1.7203310677414,0.257409958858365,34.9549298733578,0.341005006427393,3.92674954237057,31.0281803309872,23.1382016881408,58.6915465267843,0.0076505342921139,58,"7y"
1992,174.630636072561,1.73899124791664,2.54510532088723,0.86160856910752,7.36470394390965,0.859500621794322,1.73010499044361,0.257092248803245,36.3485428420791,0.340048176679389,3.89576231671469,32.4527805253644,22.9293256645213,59.875008932083,0.00689236204891908,58,"7y"
