year,precipitation,npp,ctotal,evapm,wue
1979,114.18320060420228,1.7287245579821815,56.88531922282583,1.741187692866783,0.006668910634514
1980,148.945693524729,1.7449258983567992,57.53873283234458,1.7243524177728342,0.0066213401708152
1981,126.86571113417813,1.7707100373142326,57.42587211286842,1.7112884752031794,0.0067499603855762
1982,137.3347307979202,1.739541236640502,56.98989105316764,1.7081200053465888,0.0070607129994513
1983,147.05389254950205,1.7554464077084464,57.73933321525799,1.7341395940885729,0.0063837105262595
1984,100.64173067896718,1.8020920670600644,56.92404965476262,1.6488514280712347,0.0081300229278845
1985,144.74824734734284,1.809852062127293,56.501855644239,1.6661610166597167,0.0084035674226519
1986,168.9954841574945,1.8186874096467849,57.53649064808823,1.6551797693502512,0.0087918756554141
1987,223.00229238571774,1.763485382459207,58.30867412604996,1.724311110587207,0.0081247371160313
1988,173.57598099006282,1.813341050512565,60.08311151747342,1.6994704466892203,0.0081644180468937
1989,122.27373159030321,1.83414738132839,57.89884176810814,1.639413852822034,0.0088754836207646
1990,128.8769856944782,1.8073547595583352,59.142504521587966,1.7083343511155653,0.0073014482806858
1991,176.08409192034742,1.796189476132115,57.355542819042576,1.7262698463514052,0.007740786493496
1992,174.63063607256117,1.7996374541172877,58.84803951097359,1.7398967625377015,0.006904717287665
1993,128.5895680393878,1.834423784793624,63.460269210743306,1.669234389816847,0.0074130486572504
1994,151.86040592279824,1.8438786690162872,58.49585942768692,1.6706713349118785,0.0087166497708664
1995,189.87690755493531,1.8231088569175615,58.96948792577839,1.750956714519503,0.0074972767947288
1996,135.65906617950532,1.8608613143443669,59.04287885509127,1.6901536038084843,0.0086102098487736
1997,146.29238932038788,1.835376266129057,58.363987413727614,1.700133808047793,0.0077499962642936
1998,186.6115987977537,1.8694330658006564,58.08321828224555,1.7058061829275228,0.0082498485098444
1999,215.00013088716514,1.9225375966686036,57.80274212399618,1.6008949684422666,0.0099389393194946
2000,162.08430973183567,1.924296693567962,58.092826596335634,1.6243026676047598,0.0088777921384518
2001,179.03792924980735,1.8729510423616929,58.36310635407564,1.6880483220002866,0.0083097972330005
2002,178.0066613420786,1.8610799391662127,58.367961591050985,1.7124663800297195,0.0079508840278277
2003,161.3923616552711,1.8744787851362352,60.9948428331673,1.7039129763327192,0.0084849929064541
2004,173.59874502844832,1.89971865641059,60.65626628114027,1.69810249912681,0.0079198832254618
2005,224.9740782277513,1.870780410409728,59.7395469768142,1.7381417881941528,0.0075252445023616
2006,233.24947374094336,1.9137056734133404,61.44440500839905,1.7074523482006407,0.0074229263489316
2007,222.61052501453378,1.904936579721272,63.88638111374259,1.6954088264956133,0.0072877413860963
2008,208.84727057127748,1.924157651614351,61.77604477677888,1.656502737339897,0.0079128246738046
2009,168.0523915521917,1.8179415421377123,61.97505957586272,1.7281667055586911,0.0067759645669371
2010,149.73342981229507,1.913059148362301,62.58960139414869,1.789355669463317,0.0066193222791422
2011,215.68233571997553,1.8743803946104785,59.71264797944452,1.753057696513446,0.0067109092798908
2012,231.4112205614947,1.8279296199767348,61.025413763476685,1.7461636283149218,0.0065713839839156
2013,233.26094464227936,1.9095465156265663,62.41165514563733,1.728971985785613,0.0113422640606135
2014,152.66324820313457,1.9126329168318943,63.122949371826174,1.7149368531457372,0.0115167267105732
2015,184.49092070113693,1.8459241743609047,61.523543478076746,1.7947419371621136,0.0085992177106651
2016,210.4129243918578,1.9359004431255853,61.47387500142068,1.765681950438653,0.0082539037287391
