"year","precipitation","npp","photo","ar","lai","f5","evapm","cleaf","cwood","croot","csap","cheart","csto","ctotal","wue","ls","frequency"
1979,114.183200604202,1.72872455798218,2.52286353728405,0.849604976298544,7.41347708533436,0.882151726751225,1.74118769286678,0.255799265124896,33.4429170316872,0.338514588505451,3.86429767278657,29.5786193589006,22.8480883375083,56.8853192228258,0.00666891063451409,58,"regclim"
1980,148.945693524729,1.7449258983568,2.53933257376087,0.850417313211861,7.40243254706851,0.885265711052493,1.72435241777283,0.257294727009522,33.6361883843195,0.340574774946223,3.86064057421699,29.7755478101025,23.3046749460694,57.5387328323446,0.00662134017081521,58,"regclim"
1981,126.865711134178,1.77071003731423,2.56251706225903,0.846542959178575,7.45903490673136,0.888752785433599,1.71128847520318,0.257797906251099,33.2297310343371,0.34100431555004,3.85064299995361,29.3790880343835,23.5973388567302,57.4258721128684,0.00674996038557627,58,"regclim"
1982,137.33473079792,1.7395412366405,2.54875479518983,0.868445296417358,7.5774638392259,0.881656337526541,1.70812000534659,0.260866043244967,33.5552509203983,0.34564203562244,3.95179345990864,29.6034574604896,22.828132053902,56.9898910531676,0.00706071299945139,58,"regclim"
1983,147.053892549502,1.75544640770845,2.55268970197841,0.854788537209968,7.40695965571295,0.883522871498369,1.73413959408857,0.257582044564573,33.7261349008367,0.341061172090094,3.87372537419035,29.8524095266463,23.4145550977667,57.739333215258,0.00638371052625953,58,"regclim"
1984,100.641730678967,1.80209206706006,2.60131915436705,0.85468644565161,7.58945716442455,0.896660234174378,1.64885142807123,0.261853324628482,32.2740629326928,0.346503973204097,3.90593505654803,28.3681278761447,24.0416294242373,56.9240496547626,0.00813002292788454,58,"regclim"
1985,144.748247347343,1.80985206212729,2.60587551486624,0.851727053587185,7.56387232137731,0.89541935954742,1.66616101665972,0.260651871477952,31.673717248305,0.344911756604324,3.86829247058968,27.8054247777154,24.2225747678517,56.501855644239,0.0084035674226519,58,"regclim"
1986,168.995484157495,1.81868740964678,2.61859255858964,0.855208759299381,7.52035394062182,0.898414706635618,1.65517976935025,0.261632432364977,32.4987755070457,0.346160086315893,3.89698486401045,28.6017906430353,24.4299226223616,57.5364906480882,0.00879187565541416,58,"regclim"
1987,223.002292385718,1.76348538245921,2.59129852527155,0.887155091074331,7.58613172255146,0.889870809986914,1.72431111058721,0.262691614079801,34.2705800222607,0.347915042895882,3.97371650918128,30.2968635130794,23.4274874468136,58.30867412605,0.00812473711603133,58,"regclim"
1988,173.575980990063,1.81334105051257,2.62279554170623,0.865991039060108,7.44794363062072,0.893724170974805,1.69947044668922,0.25936097886897,35.232631749839,0.343165842969531,3.94644651546313,31.2861852343758,24.247952945796,60.0831115174734,0.00816441804689371,58,"regclim"
1989,122.273731590303,1.83414738132839,2.6457906659686,0.869195928384697,7.63504122995251,0.900328189168573,1.63941385282203,0.265412674718856,32.6418720157556,0.351294171657096,3.96595588042056,28.6759161353351,24.6402629059766,57.8988417681081,0.00887548362076466,58,"regclim"
1990,128.876985694478,1.80735475955834,2.6290413164104,0.878998936969048,7.5671840531834,0.890924500023633,1.70833435111557,0.262913800145872,34.5919561965714,0.347951453738804,3.97003262152709,30.6219235750443,23.9396830711319,59.142504521588,0.00730144828068585,58,"regclim"
1991,176.084091920347,1.79618947613212,2.60909838177773,0.870371026592946,7.50328913824682,0.886923858820505,1.72626984635141,0.261245050780832,32.6163041361906,0.34588794460073,3.90039995035447,28.7159041858361,24.1321056874704,57.3555428190426,0.0077407864934961,58,"regclim"
1992,174.630636072561,1.79963745411729,2.61000689619196,0.865628758732992,7.46808827773758,0.884290484465459,1.7398967625377,0.25892659438866,34.1633684672248,0.342463227736539,3.88744529350395,30.2759231737209,24.0832812216236,58.8480395109736,0.00690471728766502,58,"regclim"
1993,128.589568039388,1.83442378479362,2.67583461331062,0.900720942836743,7.86170514654212,0.895958704024363,1.66923438981685,0.267142436638222,38.2862477187523,0.353475342577239,4.17473125738465,34.1115164613677,24.5534037127755,63.4602692107433,0.00741304865725047,57.0246575342466,"regclim"
1994,151.860405922798,1.84387866901629,2.66792285883842,0.880909814386544,7.65145454185229,0.896376107078295,1.67067133491188,0.266614051002727,33.2104128662303,0.352798019352665,3.98587916081796,29.2245337054124,24.6660344911012,58.4958594276869,0.00871664977086647,57,"regclim"
1995,189.876907554935,1.82310885691756,2.64950408636221,0.883476660371517,7.49532291778605,0.888493393986884,1.7509567145195,0.262761265372604,33.9039668912643,0.34772174257683,3.9587587782486,29.9452081130157,24.4550380265647,58.9694879257784,0.00749727679472886,57,"regclim"
1996,135.659066179505,1.86086131434437,2.67748906494161,0.87295530742815,7.56580041103863,0.896895918312756,1.69015360380848,0.263643900951695,33.266594863683,0.348794369268579,3.93029711002033,29.3362977536627,25.163845721188,59.0428788550913,0.00861020984877364,57,"regclim"
1997,146.292389320388,1.83537626612906,2.67657768610942,0.898427829086078,7.71712365722866,0.886700608154805,1.70013380804779,0.267110191504813,33.4193387679183,0.353437966766858,4.00055555777338,29.4187832101449,24.3241004875376,58.3639874137276,0.00774999626429361,57,"regclim"
1998,186.611598797754,1.86943306580066,2.69035594093497,0.876244406126173,7.52149007990975,0.893532663675586,1.70580618292752,0.264548763727626,32.0238719778951,0.349922116472697,3.89978753531212,28.1240844425829,25.4448754241502,58.0832182822455,0.00824984850984445,57,"regclim"
