month,precipitation
1979-01,191.63770119994297
1979-02,111.28406386706047
1979-03,269.074362923493
1979-04,83.76900813418615
1979-05,190.9490478137741
1979-06,54.83739759656601
1979-07,187.84408774226904
1979-08,25.144024123437703
1979-09,25.43787059839815
1979-10,21.45918357928167
1979-11,55.588230409193784
1979-12,153.17342926282436
1980-01,152.15974265156547
1980-02,352.81564376782626
1980-03,304.34258552704705
1980-04,143.7463405629387
1980-05,99.0594136150321
1980-06,16.808938622125424
1980-07,72.06481433822773
1980-08,203.61119129229337
1980-09,103.46025845501572
1980-10,92.37224480020814
1980-11,29.2225537734339
1980-12,217.68459489103407
1981-01,220.89200950576924
1981-02,224.67318509006873
1981-03,250.24709374119993
1981-04,118.93728488175839
1981-05,121.4896218109061
1981-06,30.156336356594693
1981-07,44.82181497733109
1981-08,40.00315617886372
1981-09,90.83644088823348
1981-10,76.33260356378742
1981-11,73.3863287139684
1981-12,230.61265790165635
1982-01,264.87997839503805
1982-02,285.29561766190454
1982-03,175.08639543957543
1982-04,112.34038290713215
1982-05,200.61234933673404
1982-06,93.16052366048098
1982-07,48.86639721225947
1982-08,58.36423674481921
1982-09,63.64562442431634
1982-10,113.71423654491082
1982-11,61.67345088651928
1982-12,170.3775763613521
1983-01,226.50971997936722
1983-02,308.94857637322275
1983-03,168.0264485436055
1983-04,86.62614011773258
1983-05,92.59182169334963
1983-06,89.55282235401683
1983-07,21.11336750385817
1983-08,58.15849297796376
1983-09,127.67822078894824
1983-10,150.4489937913604
1983-11,157.9715732485056
1983-12,277.02053322209395
1984-01,208.6183552557486
1984-02,70.68143220531056
1984-03,229.00525423392537
1984-04,201.43922711649793
1984-05,68.00131780510128
1984-06,14.316717985184368
1984-07,25.85379307893163
1984-08,49.68106256565079
1984-09,96.44601963227615
1984-10,21.83673318650108
1984-11,80.0480532925576
1984-12,141.77280178992078
1985-01,231.0327405532007
1985-02,108.80735895552789
1985-03,363.1015489132551
1985-04,222.16791486862348
1985-05,141.49845355350408
1985-06,87.92681826744229
1985-07,60.19229635130614
1985-08,25.771616556448862
1985-09,66.90429757582024
1985-10,69.9283144727815
1985-11,225.17653744434938
1985-12,134.47107065585442
1986-01,346.1182615516009
1986-02,264.44152694020886
1986-03,379.59312597158714
1986-04,251.5908714995021
1986-05,108.85718282152084
1986-06,61.36179831228219
1986-07,26.15384493547026
1986-08,41.48148658568971
1986-09,30.264753458322957
1986-10,128.91834620386362
1986-11,211.45034674555063
1986-12,177.71426486433484
1987-01,228.48538342732354
1987-02,432.6995981246
1987-03,387.8025152414921
1987-04,353.3636863146967
1987-05,359.1427468461916
1987-06,162.59145992808044
1987-07,75.37450535455719
1987-08,115.12336721643806
1987-09,59.20571198221296
1987-10,118.88780644512735
1987-11,111.04456292814575
1987-12,272.3061648197472
1988-01,228.17804508085828
1988-02,307.71741402859334
1988-03,216.97476514382288
1988-04,239.19313551014056
1988-05,140.56052736996207
1988-06,140.0339006970171
1988-07,80.99184453603812
1988-08,56.97530546458438
1988-09,38.28122183913365
1988-10,120.06005753937643
1988-11,189.83597911137622
1988-12,324.1095755598508
1989-01,206.40021894068923
1989-02,227.23394234490115
1989-03,196.51369031053036
1989-04,125.9530116822134
1989-05,135.45888685039245
1989-06,137.38410570658743
1989-07,39.5745349873323
1989-08,31.47122652735561
1989-09,35.487814515363425
1989-10,76.75294663058594
1989-11,96.69737755903043
1989-12,158.35702302865684
1990-01,37.83614694548305
1990-02,77.98756010597572
1990-03,85.50353048485704
1990-04,207.99379519885406
1990-05,196.08171326690353
1990-06,90.05079983253381
1990-07,43.79553763428703
1990-08,40.51440318580717
1990-09,172.46439690934494
1990-10,135.42863074690104
1990-11,36.683573154732585
1990-12,422.1837408680585
1991-01,337.35935988952406
1991-02,189.4641080929432
1991-03,210.4678826581221
1991-04,203.58663744991645
1991-05,383.51024442818016
1991-06,78.10979874338955
1991-07,82.24695946555585
1991-08,53.26131434412673
1991-09,76.70059672091156
1991-10,146.806049044244
1991-11,75.61868811026216
1991-12,275.8774640969932
1992-01,266.0182620951673
1992-02,311.1182345106499
1992-03,219.7624987900781
1992-04,154.16616335896833
1992-05,172.1270898473449
1992-06,102.02238183701411
1992-07,42.2004553838633
1992-08,66.71359420433873
1992-09,54.124174907337874
1992-10,198.5606504691532
1992-11,200.3961471549701
1992-12,308.3579803118482
1993-01,152.34756192803616
1993-02,144.51395192882046
1993-03,176.03009788726922
1993-04,198.03526858740952
1993-05,98.20995516492985
1993-06,142.031818589021
1993-07,89.60211344528943
1993-08,49.50685642979806
1993-09,94.03001986211166
1993-10,122.75047613075003
1993-11,122.76873254450038
1993-12,153.247963974718
1994-01,253.55612083221786
1994-02,271.4606188455946
1994-03,146.89724089294032
1994-04,252.64438918966334
1994-05,165.57135356997605
1994-06,136.40243567351718
1994-07,42.61134790722281
1994-08,18.436214413668495
1994-09,61.130350444000214
1994-10,138.1121131889813
1994-11,141.21699800016358
1994-12,194.2856881156331
1995-01,182.37463000696152
1995-02,259.41358932032017
1995-03,333.0620034743333
1995-04,257.53799406811595
1995-05,218.8061120803468
1995-06,186.02639712626114
1995-07,109.24090220360085
1995-08,115.09250745875761
1995-09,87.19959617592394
1995-10,79.59181771147996
1995-11,141.01412115851417
1995-12,309.16321987460833
1996-01,269.5908286572376
1996-02,208.38569163170177
1996-03,208.35144166267128
1996-04,178.67875982774422
1996-05,104.09588572802022
1996-06,43.272360088303685
1996-07,66.4473547716625
1996-08,34.20782466419041
1996-09,37.83095679245889
1996-10,134.5816515851766
1996-11,153.2149963779375
