year,precipitation,npp,ctotal
1979,114.18320060420228,1.7287245579821815,56.88531922282583
1980,148.945693524729,1.7449258983567992,57.53873283234458
1981,126.86571113417813,1.7707100373142326,57.42587211286842
1982,137.3347307979202,1.739541236640502,56.98989105316764
1983,147.05389254950205,1.7554464077084464,57.73933321525799
1984,100.64173067896718,1.8020920670600644,56.92404965476262
1985,144.74824734734284,1.809852062127293,56.501855644239
1986,168.9954841574945,1.8186874096467849,57.53649064808823
1987,223.00229238571774,1.763485382459207,58.30867412604996
1988,173.57598099006282,1.813341050512565,60.08311151747342
1989,122.27373159030321,1.83414738132839,57.89884176810814
1990,128.8769856944782,1.8073547595583352,59.142504521587966
1991,176.08409192034742,1.796189476132115,57.355542819042576
1992,174.63063607256117,1.7996374541172877,58.84803951097359
1993,128.5895680393878,1.834423784793624,63.460269210743306
1994,151.86040592279824,1.8438786690162872,58.49585942768692
1995,189.87690755493531,1.8231088569175615,58.96948792577839
1996,135.65906617950532,1.8608613143443669,59.04287885509127
1997,146.29238932038788,1.835376266129057,58.363987413727614
1998,186.6115987977537,1.8694330658006564,58.08321828224555
1999,215.00013088716514,1.9225375966686036,57.80274212399618
2000,162.08430973183567,1.924296693567962,58.092826596335634
2001,179.03792924980735,1.8729510423616929,58.36310635407564
2002,178.0066613420786,1.8610799391662127,58.367961591050985
2003,161.3923616552711,1.8744787851362352,60.9948428331673
2004,173.59874502844832,1.89971865641059,60.65626628114027
2005,224.9740782277513,1.870780410409728,59.7395469768142
2006,233.24947374094336,1.9137056734133404,61.44440500839905
2007,222.61052501453378,1.904936579721272,63.88638111374259
2008,208.84727057127748,1.924157651614351,61.77604477677888
2009,168.0523915521917,1.8179415421377123,61.97505957586272
2010,149.73342981229507,1.913059148362301,62.58960139414869
2011,215.68233571997553,1.8743803946104785,59.71264797944452
2012,231.4112205614947,1.8279296199767348,61.025413763476685
2013,233.26094464227936,1.9095465156265663,62.41165514563733
2014,152.66324820313457,1.9126329168318943,63.122949371826174
2015,184.49092070113693,1.8459241743609047,61.523543478076746
2016,210.4129243918578,1.9359004431255853,61.47387500142068
