"timeindex","ar1","sd","sk","kurt","cv","returnrate","densratio","acf1","frequency"
29,0.154452429641246,0.0916965334936898,0.32819118310996,2.11815004336651,3.9637466943259,6.47448539542398,1.7372445308581,0.14288768639882,"3"
30,0.300929207224007,0.104598911416674,0.324155072786163,1.99000580648282,18.3422989635507,3.32304068862154,2.51238514233484,0.237713220814286,"3"
31,0.237360968431926,0.104483352271318,0.257504433927786,1.97230086986307,13.137967245558,4.21299258511745,2.5082544312671,0.23729326355377,"3"
32,0.164854542233366,0.105887853495383,0.600970502550589,2.14800866544473,-15.4487673255581,6.06595357611933,1.82428157265585,0.155514853411746,"3"
33,0.0819801554681084,0.116500835710257,0.580876708587056,1.87403886838139,109.841807787773,12.1980739642415,1.27415211707358,0.0626282259557898,"3"
34,0.011066466509723,0.117524627821111,0.593239929654251,1.85577800977551,-212.112013596047,90.3630801323442,1.04186556806366,0.0105784604933213,"3"
35,-0.254825570604816,0.118113981603791,0.585234315160473,1.82861570670201,-11492.2988820692,-3.92425296106097,0.404464187687482,-0.226867656057883,"3"
36,-0.466433195401896,0.101966244579898,0.978915120090038,2.66296687407035,-3.40046957701966,-2.14392974140351,0.160413940930482,-0.433291296798669,"3"
37,-0.490340472085368,0.103445581107292,0.770483518754537,2.31115134707663,-4.32378184094571,-2.03939926832289,0.128318927985854,-0.477695643341583,"3"
38,-0.479638693077022,0.110908227884553,0.344411807216983,1.66416054049222,100.550690992094,-2.08490268703033,0.194605310008654,-0.393029967480596,"3"
39,-0.339577188233944,0.115657269993101,0.0283993556369471,1.43075350836715,6.09999437507335,-2.94483856586702,0.287366677632929,-0.306998089745919,"3"
40,-0.460594508143418,0.102535638797408,0.0301915549794219,1.54253356478203,3.19090786132859,-2.17110708512535,0.145218411954154,-0.453371850532871,"3"
41,-0.411092072058231,0.109186912063007,0.115348576886344,1.35915596634729,4.92248558589037,-2.43254508653806,0.220612898625296,-0.366022230443158,"3"
42,-0.0630342947440345,0.116925220053853,0.0138178550974838,1.42335175097037,7.21893356203967,-15.8643799230361,0.822569821562757,-0.0501636761946609,"3"
43,0.0286948242949955,0.104421604187823,0.0326543412997398,1.55913554413072,31.4294712952141,34.849490267637,1.11565995420866,0.0282546289682305,"3"
44,0.0942418646688427,0.104343586026115,0.0316155660258632,1.56184741285159,30.5366447178571,10.6109954797044,1.40815273368872,0.0885300922672462,"3"
45,0.274508143893816,0.0963683068451685,0.279201023169882,1.94182936604771,-9.9365796952062,3.6428791722362,2.90289217374748,0.274453035194477,"3"
46,0.364753609920275,0.0916254259818215,0.289816541196694,2.11145562349171,-19.8454614827264,2.74157670493946,3.91487407900918,0.349562932269232,"3"
47,0.24599970275048,0.0943425049855268,0.170808179344242,1.87815934781908,-710.770752758288,4.06504556232863,2.44306979913301,0.230568641765652,"3"
48,0.123366026785347,0.0892071426325307,0.0572517913485653,1.82179541549942,-25.8193398674029,8.10595936383658,1.48034426657563,0.101479928186337,"3"
49,0.0744631292229846,0.0766493964478943,0.124206335480283,2.18441939201958,-4.27696963145457,13.4294651653093,1.33372297795948,0.0744629936165602,"3"
50,0.0971753269999993,0.0801881257195463,0.355155065209509,2.01171409468171,-2.99629423613801,10.2906780030697,1.41290665518078,0.0894031340746644,"3"
51,-0.194047454878186,0.081687357177225,0.0491614284298533,1.82356753266332,-6.86244476936604,-5.15337859302383,0.498097987159884,-0.176250844373014,"3"
52,-0.03229422239535,0.0687236400696262,0.0951411036635957,1.70909353091159,10.6508534791678,-30.9652911829822,0.885171406074142,-0.0313741434014425,"3"
53,-0.0982342674081542,0.0879533563619379,0.290671095646097,2.18130014433308,-5.74286270888639,-10.1797471125335,0.78530087018939,-0.0620057100951248,"3"
54,0.170776718713086,0.0915010648472843,0.233053894077491,1.94106602665439,-4.78720750184017,5.85559909767359,1.79528428040834,0.151377693337125,"3"
55,0.218022669048914,0.0928329027358217,0.0516667407748014,1.80564371643993,-3.75923641748912,4.58667901077592,2.27523234101823,0.212353330254544,"3"
56,0.210105082598607,0.0965727756337259,0.359696436091121,1.74796445457101,-8.49119896841964,4.75952312829308,2.10585808140481,0.192495698568616,"3"
57,0.164219672775259,0.0961531125799586,0.360937188491014,1.75795783025763,-8.12943871237413,6.08940441239668,1.80101913204458,0.15220130642158,"3"
58,0.393417286416735,0.104573089635568,0.085293587062477,1.97430409115746,-15.909063582401,2.54183035297724,2.96810296976642,0.280077787561117,"3"
59,0.259267311217251,0.104517867516142,0.102592153209639,1.98062948100173,-17.4160193077381,3.85702306744739,2.73306199419352,0.259155509719651,"3"
60,0.35246976377013,0.100728560865409,0.210086843309397,2.2514196131813,-180.359122424435,2.83712279119683,3.86470674155813,0.346352420414751,"3"
61,0.253712054593768,0.11497754071898,0.0261173418371586,2.02576305486551,10.1497667723239,3.94147610211566,2.10339232263223,0.192194523949777,"3"
