"timeindex","ar1","sd","sk","kurt","cv","returnrate","densratio","acf1","frequency"
285,0.487921773597161,0.145048631669028,0.0768016445197749,3.13742443552882,-8.8773949186204,2.0495088641517,7.73011878400474,0.471663719610142,"7"
286,0.465182151162451,0.144428832009121,0.0207863528295848,3.1701219573562,-7.09614552662916,2.14969554936939,7.32069065056584,0.460973327455051,"7"
287,0.491403263141357,0.140411957657901,0.0355215242332584,3.27645597244204,-5.44648098417456,2.03498852166218,8.46229648660506,0.489142906019375,"7"
288,0.494426126242738,0.140699604667914,0.00495568172021156,3.25028486439569,-5.14980118018608,2.02254684152563,8.59853067236841,0.492188612744842,"7"
289,0.491498113474864,0.140706050180338,0.00405525806308049,3.24968792132321,-5.14197312293782,2.03459580532274,8.55913306268659,0.491314016853284,"7"
290,0.472571832169193,0.140084482985183,0.0600911100594567,3.29638949820558,-5.90950519729119,2.11608041767918,7.62718577772383,0.469042762042836,"7"
291,0.483398493092447,0.139712163960966,0.0889281588824893,3.31987249645249,-8.01893967184766,2.06868663078095,7.59731242073378,0.468273938284588,"7"
292,0.492982760035949,0.140050956491085,0.145443548104842,3.3082102139831,-10.1974197616295,2.02846850045442,8.3253996728605,0.486020465072584,"7"
293,0.479532111820521,0.140037620173943,0.148596699143893,3.31008231151065,-10.3055732849213,2.08536607945513,8.04867812317117,0.479510009686463,"7"
294,0.456759725009858,0.129791132457355,0.197873448502104,2.56116140303829,-21.0207350098312,2.18933488494069,7.10593085875309,0.455067803011317,"7"
295,0.450094479979022,0.127052962248292,0.226549683839646,2.4857288315447,4847.59431811587,2.2217557523625,6.60819996780072,0.440499136198519,"7"
296,0.441109691806184,0.125199311659127,0.216723915901695,2.55707353810222,48.544147359652,2.26700981314957,6.62788220160488,0.441100363372189,"7"
297,0.430698684069136,0.128397559500471,0.200176827997884,2.48010872038723,17.659035015497,2.32180881202665,5.63681754088279,0.40779882221505,"7"
298,0.436563633470452,0.128041812654465,0.144938346706077,2.47056497274543,11.1476012274336,2.29061681581337,6.26925617535712,0.429790604226109,"7"
299,0.434825224920699,0.127960330093604,0.10348184058955,2.46855398653293,9.52742657316132,2.29977458226434,6.38124012662747,0.433404848423217,"7"
300,0.437762801507329,0.127711171478004,0.0815595744558569,2.48379216844144,8.8280538831364,2.28434210617427,6.51926548203666,0.437755046658828,"7"
301,0.440599599888351,0.127633911965016,0.0898279127953098,2.49065439510456,9.04797356840102,2.26963438063358,6.60854668860606,0.440509746229879,"7"
302,0.446822103870113,0.12955502922086,0.050730563293601,2.41074677070188,7.26124952061753,2.23802715071296,6.35088217510858,0.432432702883202,"7"
303,0.447707673085429,0.129777859924443,0.0413151480145716,2.39500932690886,7.07724714347833,2.23360031582301,6.7751587034644,0.445531227621217,"7"
304,0.453385463250371,0.129707647503916,0.00839432983315708,2.39870009966607,6.53988573878692,2.20562872225962,7.0185711884508,0.452602669301163,"7"
