timeindex,ar1,var,frequency,sd,sk,kurt,cv,returnrate,densratio,acf1
90,-0.046386280643461,csap,regclim,0.264281943908445,0.22945473814133,2.59432130741942,-105.856487667579,-21.5580983456359,0.832153945923479,-0.0459251995400526
91,-0.0541893719398986,csap,regclim,0.264866482226675,0.242699868053904,2.57859735385864,-65.6828742399565,-18.4538031020013,0.805885646085087,-0.0539276697675358
92,-0.059012329587869,csap,regclim,0.272331354935251,0.233027155055769,2.49770752220692,47.6031485385853,-16.9456113151914,0.800225364262169,-0.0556852672235258
93,0.0002638057074559,csap,regclim,0.267951971048338,0.228372724886292,2.57629527172951,141.188885895055,3790.66855544422,1.00104833637029,0.0002620909150293
94,-0.0149001657136757,csap,regclim,0.263610689524288,0.256173718246124,2.63265272561303,46.3090599322434,-67.1133475436569,0.94252526564873,-0.0148049570037396
95,-0.0057787725540987,csap,regclim,0.264828500703107,0.26627597350033,2.60038916596837,71.342149582582,-173.047129063892,0.977408400737495,-0.0057157180701693
96,0.0117151880090837,csap,regclim,0.2678621835929,0.288496104903537,2.54157859469439,-165.636047646346,85.3592788459409,1.04685329110451,0.0114531396433812
97,0.0396894350793838,csap,regclim,0.26919774328617,0.287482507095569,2.51420241535713,-86.6505286574904,25.1956219079429,1.16888278187506,0.0390155030410882
98,0.0389661515807295,csap,regclim,0.267920453744389,0.316542875687718,2.56938693252347,-44.7028482036657,25.663299028343,1.16863611046286,0.0389627858774862
99,0.038609683997552,csap,regclim,0.268309186134517,0.331384482310301,2.56267607332737,-35.5322726542374,25.900237879787,1.1664637023422,0.0384980214429249
100,0.0342583547418982,csap,regclim,0.272048127441379,0.305775930511255,2.45657321501709,-92.7307513806119,29.1899598662569,1.14249695023576,0.0333113031578115
101,0.0986649435643306,csap,regclim,0.270364098971712,0.275057827443352,2.41540535094198,31.8021193852514,10.1353121369597,1.47119740808261,0.0962847292901134
102,0.0941373899567242,csap,regclim,0.265776540541647,0.303883786456262,2.53049395105524,101.06666602224,10.6227716793477,1.45849953297883,0.0941355342208775
103,0.0999115838256903,csap,regclim,0.279114443308136,0.140855387396347,2.71787250129199,-31.8828595902887,10.0088494417688,1.43810539505352,0.0906423967726337
104,-0.0540585941862774,csap,regclim,0.289861538623715,0.29495589611022,2.99822641525043,30.998685404891,-18.4984462702481,0.82420055433473,-0.0483218485195874
105,0.0093124220295884,csap,regclim,0.285657006346909,0.270061413967962,3.06805422258666,16.0095404520246,107.383449420858,1.03778483853204,0.0092770476121169
106,0.0236779383588273,csap,regclim,0.279678303167903,0.293692131317164,3.24207572655587,26.4296912875628,42.2334066777902,1.09929751971829,0.0236770635892155
107,0.0248976733455968,csap,regclim,0.287838139681407,0.283881678331785,3.09679446066745,13.3587373747791,40.1643955288237,1.09813596312746,0.0234127520263472
108,-0.0595124850679167,csap,regclim,0.304715211802118,0.0681768825603374,3.30015361436426,37.4963255738199,-16.8031968226294,0.808461213152537,-0.0531318901355278
109,-0.0247992904967442,csap,regclim,0.305245936938856,0.0719779049675285,3.28120732820874,41.5429233445367,-40.3237342669656,0.906360102559532,-0.0245875621350457
110,-0.0071732478299565,csap,regclim,0.308318032793342,0.0879289136971927,3.18542981697936,102.649422564382,-139.40686613724,0.972294375875362,-0.0070278589262201
111,-0.0176685788580969,csap,regclim,0.304599553314196,0.11698373701503,3.31071824149357,-111.765940011317,-56.5976476111284,0.931793570366642,-0.0176685318089716
112,-0.02658353278891,csap,regclim,0.353504595793373,1.02528803473732,6.31589335092645,21.190443438705,-37.6172726153679,0.924071534880146,-0.0197493168837325
113,-0.100780414537072,csap,regclim,0.352708921792997,1.08897054713181,6.50381329064851,71.7252835912015,-9.92256287685892,0.671927265085794,-0.0991198532009699
