timeindex,ar1,var,frequency,sd,sk,kurt,cv,returnrate,densratio,acf1
93,-0.115889409855025,croot,1y,0.0235008466848269,0.128548877899014,2.74671914699694,-512.593269097324,-8.62891614730783,0.629529119635305,-0.11523257051304
94,-0.121918508591994,croot,1y,0.023569233923297,0.179808665615743,2.73519395375628,50.2375177799525,-8.20220007239874,0.616064439913145,-0.120564385738978
95,-0.0886859647582587,croot,1y,0.0231567941378222,0.208756123254305,2.8662627185318,22.2594835093581,-11.2757413501202,0.700857218981732,-0.0886704006187594
96,-0.0789937360156688,croot,1y,0.0227911536178565,0.215952044885761,2.96174150429737,35.5586193003807,-12.6592316104868,0.729064783409454,-0.0788712550087278
97,-0.0816890066868106,croot,1y,0.0230739775809896,0.207991154988638,2.86264404889115,65.8332087881801,-12.2415492678706,0.727564783085092,-0.0793831236521206
98,-0.0510782130763928,croot,1y,0.0232520521468499,0.153759877654982,2.78305775195784,-101.648818101249,-19.5778187953521,0.818367623982639,-0.0500939079222096
99,-0.0409223051531884,croot,1y,0.023203951932675,0.180963441927128,2.81132993984539,-2407.48201019166,-24.4365510754246,0.849019359269806,-0.040916220097744
100,-0.0591043198137143,croot,1y,0.0228626843719895,0.165811453834277,2.90581977166456,-45.265307841302,-16.9192370904836,0.789329829395788,-0.0591027480505604
101,-0.0642366697749052,croot,1y,0.0228702929080889,0.166072886818934,2.90309783390484,-46.1334042672933,-15.5674321770439,0.775217408216532,-0.0635978849025314
102,-0.0723593074959277,croot,1y,0.0229443695841578,0.122897438325821,2.86089915299252,-26.5451826776452,-13.8199221994528,0.750170262418262,-0.0717744777590925
103,-0.0907534723898073,croot,1y,0.023335511871082,0.136724493773199,2.76191157769903,-74.753634394592,-11.0188621290959,0.703412628965871,-0.0877672609166758
104,-0.0405882067258109,croot,1y,0.0234953507311664,0.178410669033166,2.75987702434366,39.5740774281078,-24.6376985008327,0.854572381283644,-0.0392882753220975
105,-0.0185374820028983,croot,1y,0.0234678908235771,0.177263600474109,2.76889197619262,42.0048445201404,-53.9447590478388,0.929098704240068,-0.0183927462198093
106,-0.0090162218010898,croot,1y,0.0236420624074442,0.219836699431684,2.72593080366707,21.8145444195157,-110.911202281994,0.965189517210177,-0.0088622546312133
107,-0.013933341460628,croot,1y,0.0236175017913359,0.235494603972258,2.74177703764446,19.5706631414136,-71.7702930647139,0.945816442481539,-0.0139332374822475
108,-0.0134066407110063,croot,1y,0.0235138039880795,0.251347589864784,2.78953896718721,17.1323432091265,-74.5899007481452,0.947920746272192,-0.0133774561466215
109,-0.0086816877963703,croot,1y,0.0236619438861639,0.215553527812812,2.71776226919477,22.8301830590983,-115.184975946507,0.966299914410771,-0.008574677986427
110,-0.0110055057630601,croot,1y,0.0236484869359881,0.165012003355888,2.7075706573073,41.8948590911026,-90.8636114985731,0.957211679598764,-0.0109381258321128
111,-0.0010450654577855,croot,1y,0.0234494673501674,0.144541318805229,2.77152498487593,101.428371313221,-956.877861142757,0.995831562316616,-0.0010448600893989
112,0.0287281774547163,croot,1y,0.0236109174247733,0.194572747276182,2.74109743786377,26.7664151941969,34.8090303179268,1.11911787888247,0.0281441322300379
113,0.0056102538284489,croot,1y,0.0225528394176448,0.367034208366601,2.41578616067902,-65.7349079401104,178.245054605036,1.02237388216747,0.0055348337808966
114,-0.0026090130382198,croot,1y,0.022567765865836,0.373453619170706,2.41338695819593,-78.9876631712373,-383.286700890664,0.989641795447882,-0.0026044740150786
115,0.0379759111640548,croot,1y,0.0222788466382294,0.360364074439482,2.46355688056268,-30.0176989790928,26.332482074756,1.16401904487885,0.0379739565425352
116,0.042332753357397,croot,1y,0.0216222119772614,0.370699967941473,2.52390729014573,137.527419971163,23.6223708757481,1.18319434003763,0.0420548269307241
117,0.0416858116685962,croot,1y,0.0216258312835597,0.359797038626976,2.51697334902249,270.416351387889,23.9889775434874,1.18136629817746,0.0416687033703406
118,0.0238442487011277,croot,1y,0.0224780162085251,0.470961845337688,2.67618847458671,-58.7391900057444,41.938834497759,1.09052149617093,0.0216730540484103
119,0.134596394753814,croot,1y,0.0233883099137414,0.602266732325851,2.92891625092999,-28.4564896487038,7.42961950674138,1.62379472307857,0.120686110993603
120,0.188364487840231,croot,1y,0.0237071178865484,0.542903489766699,2.77212110729616,-16.6598749638439,5.30885631079352,2.09624697837221,0.183099552300888
121,0.201384302739789,croot,1y,0.0229235627765456,0.500057542983057,2.81857710723702,-25.4699838672842,4.96563032170443,2.24612674268752,0.199750985784287
122,0.200878202655501,croot,1y,0.0229050092799703,0.515058354113504,2.83723868324582,-28.9365116193062,4.97814091713556,2.2566864925759,0.20087790399674
123,0.202460320747803,croot,1y,0.0229942366513348,0.475603103731684,2.77184546230532,-21.0235791052602,4.93923943371433,2.25639906218042,0.200847306717854
124,0.197780296874861,croot,1y,0.0231989257534731,0.512118070558021,2.76141862499129,-49.2374819598838,5.05611537550031,2.18739871506841,0.19337559884288
125,0.221614438690032,croot,1y,0.0231211284128311,0.516358498254101,2.77901227499604,-41.864616694484,4.51234137049474,2.43772452927431,0.219341262434298
126,0.216559070399837,croot,1y,0.0231262009695838,0.563994105780973,2.81665657029155,-177.942630888703,4.61767774563163,2.39678977889794,0.215302159840334
127,0.237602508663337,croot,1y,0.0229292516250374,0.630834335726568,2.94864777026262,40.3691610283305,4.20870977173442,2.61117576934693,0.235657947775254
128,0.271274248389046,croot,1y,0.0246469690120442,0.198267635906878,3.54219923180954,16.2795127814452,3.6863064074031,2.59874844431265,0.234529588728364
129,0.288151513798676,croot,1y,0.0248871944142154,0.21505941941932,3.4453814083938,13.1925025821629,3.47039648279854,3.1928570633192,0.282623156913645
130,0.278215825913303,croot,1y,0.0247669862988167,0.258197141845388,3.52062205420159,10.8179492476554,3.59433183470885,3.12892158029904,0.277955408452224
131,0.292096550277846,croot,1y,0.0246422272650697,0.311234636269635,3.60504085252724,8.78364305583116,3.42352553992434,3.31372748562948,0.291163143404285
132,0.282101307759839,croot,1y,0.0245864513109987,0.300290257905646,3.62935121064141,9.19275998052887,3.54482582140785,3.18223439819581,0.281855039357402
133,0.289060698890251,croot,1y,0.0242617409071161,0.274692584272403,3.74043418948782,11.8465584120187,3.45948101502264,3.27589588615014,0.288528960256292
134,0.291568419628718,croot,1y,0.0243242310829834,0.250389744327197,3.69512017730808,13.1877982813756,3.42972672168472,3.29828654174959,0.290092177155716
135,0.29660990944252,croot,1y,0.0243675646865399,0.237128344033966,3.66553725786765,14.0783465986654,3.37143152728615,3.37501555894382,0.295358383962143
136,0.295085393270007,croot,1y,0.0243205937804728,0.213207711059091,3.68461037704698,16.0981556748171,3.38884954256271,3.37043066945888,0.295047573337077
137,0.291303343436139,croot,1y,0.024305902890968,0.203835909607134,3.69060035261561,17.0046662980556,3.43284765703084,3.31548366730001,0.29128458851761
138,0.285326816978408,croot,1y,0.0242043733509018,0.154637061483604,3.72678636168544,26.9769539321364,3.50475293766613,3.21265992391285,0.284047341426463
139,0.291368521930402,croot,1y,0.0242535471973637,0.100548937482591,3.69005447466383,66.4676579413618,3.43207973659854,3.27405647857962,0.288399998417712
140,0.286331122232469,croot,1y,0.0242715184325055,0.108803878464789,3.6806100297027,55.4577231955468,3.49246003090125,3.23759328787256,0.285826328172547
141,0.283912528894769,croot,1y,0.0241083536310093,0.124191028017885,3.76903969925892,36.2461345458058,3.52221159063624,3.20166513767695,0.283257857052803
142,0.278322472512759,croot,1y,0.02411241558812,0.150938371433085,3.7716538208,27.2019396024689,3.59295457162252,3.12793128974612,0.277882258627723
143,0.268747071522513,croot,1y,0.0245097517813024,0.164110883485102,3.62933810598788,43.9427500556827,3.72097077871313,2.87246800904887,0.25808011608581
144,0.288528408848361,croot,1y,0.0247729375285553,0.144181504241515,3.50251589578773,117.04213871567,3.46586321947092,3.18684926655938,0.282189095721724
145,0.307276019364758,croot,1y,0.0251172843138644,0.115621818817448,3.35451574303735,-86.0427527048712,3.25440300244495,3.42974526033732,0.299031559974611
146,0.284570140367831,croot,1y,0.0250959431584239,0.163953317862426,3.3749260721039,149.471739864511,3.51407213247115,3.2008560008648,0.283199634624112
147,0.295652762182224,croot,1y,0.0250858070962828,0.199910576270627,3.38934201716181,51.7621925662593,3.38234621120724,3.36938501264274,0.2949766201861
148,0.288079947369995,croot,1y,0.0249070457937491,0.200994957820324,3.45495213157237,85.609144464351,3.47125861806567,3.24358885342906,0.286251778417071
149,0.289734661680521,croot,1y,0.0247560702117382,0.189053887580149,3.51978182932241,420.343692064577,3.45143378496654,3.28643882312787,0.289266538193118
150,0.288466568857213,croot,1y,0.0247960409320207,0.198529559650144,3.50144048092503,154.557183578086,3.46660621354354,3.25814667362899,0.287281087474538
151,0.319927236788362,croot,1y,0.0246477546712209,0.153457903556225,3.55600614135078,-66.455307608432,3.12571073985026,3.74535326396744,0.318975958327791
152,0.364611600548753,croot,1y,0.0238238660124276,0.125248970418935,3.74860776853102,48.5998556098646,2.74264449758309,4.59609177693019,0.364266526018191
153,0.384088067089411,croot,1y,0.0237233954425309,0.0940457311396092,3.80156577717051,130.905981093338,2.6035695604342,5.03697687204522,0.384011925932921
154,0.355520325801658,croot,1y,0.0233289346459583,0.124378151253923,3.99427717454108,29.7771005950369,2.81277870047265,4.41057694431069,0.355277403909009
155,0.41366080840778,croot,1y,0.022757914131531,0.132644590784209,4.24568266748699,15.3115233341412,2.41743955355378,5.78891982759046,0.413350639093051
156,0.440679461919754,croot,1y,0.022598957341655,0.0856817070342277,4.30538772279048,34.0021084754313,2.26922306667901,6.39191108276021,0.43374522929413
157,0.466533235344638,croot,1y,0.022657315885173,0.0840579676109158,4.26939213473296,37.5819747722773,2.14347001293762,7.25800829828748,0.459271848349602
158,0.472496722331304,croot,1y,0.0225715266531346,0.0298225049152035,4.31790807572034,454.706124452091,2.11641679769965,7.63915122099272,0.469349666694182
159,0.472126757249906,croot,1y,0.0226666672026954,0.0101434996324117,4.25131859539018,-73.4584699663614,2.11807525128401,7.57598464098811,0.467722763970529
160,0.459786799152192,croot,1y,0.0224194841475445,0.0094503735107858,4.39194586631121,-40.3252618328134,2.17492107612467,7.18066467242572,0.45714738781829
161,0.449771169403137,croot,1y,0.0223440226890091,0.037954133825993,4.44945182455666,-27.9442197545216,2.22335282478652,6.91902023381346,0.449747351811865
162,0.452714313932827,croot,1y,0.0222393353064129,0.0456352444010779,4.52272285900295,-23.8082992894975,2.20889856853163,6.94680398521289,0.450549272706838
163,0.441955248575419,croot,1y,0.0223580555621435,0.0825355400827282,4.44004760517434,-17.3586970980062,2.26267252900234,6.49753228081631,0.437077536583646
164,0.454315358595493,croot,1y,0.022384617723015,0.122658935050881,4.42633182543118,-13.8360355111444,2.2011142284326,7.00055229678473,0.452089536320774
165,0.433901085564587,croot,1y,0.0221721827583613,0.0757274021732727,4.53902377246371,-23.7775872658315,2.30467273134109,6.28989644456607,0.430462620156378
166,0.44181578563544,croot,1y,0.0219451103373909,0.0498611031475121,4.69593834239191,-39.7736066883627,2.26338676098174,6.65137639531198,0.44181519313956
167,0.441788274492075,croot,1y,0.0221025334214882,0.0251049200687408,4.57582474230665,-81.1870338148007,2.26352770713461,6.44725095797941,0.435499453129015
168,0.414117754126249,croot,1y,0.0224573425829868,0.0396568935130316,4.36300295185394,-30.4762139396186,2.4147721029491,5.46505706422878,0.401308952904459
169,0.415162963361765,croot,1y,0.0223364787549785,0.0685878452298364,4.45291387488066,-22.0429231244252,2.40869270202366,5.83958549055798,0.41516109583301
170,0.436788947206729,croot,1y,0.0222467238212666,0.0339072878176525,4.51730472025465,-31.6000067976739,2.28943522127795,6.48160972057176,0.436579416153917
171,0.418313634452163,croot,1y,0.0222089275274629,0.0294413397713516,4.53183773820778,-30.4986949133899,2.39055081556123,5.54014292518874,0.404175712286106
172,0.426976731347648,croot,1y,0.0220032775293954,0.0102184881801402,4.62719267927043,-25.1971123027483,2.34204800070426,5.92195126082002,0.41806426960414
173,0.424726026973991,croot,1y,0.0220522577292492,0.0090931444812128,4.59372225460775,-26.8751718251137,2.35445896057893,5.93309057375448,0.418453160522289
174,0.429846135427476,croot,1y,0.0218049974497313,0.0265897631781467,4.76925997176012,-18.8962692753304,2.32641384342217,6.26121150017873,0.429527955008526
175,0.430384640397574,croot,1y,0.0218067372930207,0.0244173468709444,4.76766754116297,-19.1604882558345,2.32350299275605,6.2840213854218,0.430271609619874
176,0.427568782730608,croot,1y,0.0218218734408149,0.006492272183982,4.75445337683674,-24.1503468935687,2.33880498387567,6.16707160949766,0.426423674738994
177,0.426875437645078,croot,1y,0.021757307008385,0.0608052129551477,4.80667104938101,-54.1044690840681,2.34260374763338,6.10141732824983,0.424224555190209
178,0.421348510181825,croot,1y,0.0217749402865853,0.0588562060725292,4.7924110973204,-50.958442744388,2.3733322317159,5.92039025843102,0.418009702056488
179,0.419333075713921,croot,1y,0.0217971037824635,0.0348833102286608,4.77178238981701,-35.9376282910746,2.38473914393107,5.93000469352538,0.41834551587023
180,0.455287677393774,croot,1y,0.0216452109890713,0.0171101181859743,4.86660033640876,-16.134974410465,2.1964134977787,6.90599501473988,0.449370049649841
181,0.467337656500289,croot,1y,0.0215313454595134,0.0062477529990855,4.95816937461052,-18.2472482921889,2.13978049080961,7.50811453869365,0.465956009686127
182,0.46937705862491,croot,1y,0.021520770724066,0.0367247289853427,4.96857503301281,-15.2932602448922,2.13048333237591,7.61436016143751,0.468713135618188
183,0.463583325302088,croot,1y,0.0217466847624836,0.0066500083852635,4.7928874071016,-21.3549296828093,2.15710951067613,7.07276805143426,0.454136397937709
184,0.464909811545523,croot,1y,0.0216830647962119,0.0182146688600058,4.84585272613673,-19.0885888110041,2.15095481998035,7.435679959092,0.464048638219075
185,0.465419016539643,croot,1y,0.0219092901327019,0.0147176527660658,4.67794178897231,-30.510899200418,2.14860150630485,7.13631641802001,0.455916546054592
186,0.387482175837913,croot,1y,0.0208338028346408,0.135801158321257,4.94199903514167,134.904374399689,2.58076387084785,5.11612912079705,0.387339401934173
187,0.360632026281426,croot,1y,0.0193672019333193,0.519886928221701,4.84915316133545,16.8627055494358,2.77290957852875,4.51504065887092,0.360392753185113
188,0.351614285766354,croot,1y,0.0189191376136197,0.548888605385452,5.0632006096711,10.421189235366,2.84402551455061,4.31053460320781,0.350243240177776
189,0.361383399484748,croot,1y,0.01892239696227,0.490178524088128,4.99539297304932,7.8711635563267,2.76714426126318,4.41437025775285,0.355465638261342
190,0.365340818471424,croot,1y,0.0190119772744792,0.447166723696385,4.88093352302131,7.0822964897519,2.73717019681505,4.54386556962687,0.361779744725261
191,0.357148359726364,croot,1y,0.0198064113158737,0.236191855309454,4.76033246718884,8.7973423281657,2.79995686040996,3.82548137512687,0.323731423148803
192,0.402669351837619,croot,1y,0.0203227515755901,0.170536484533039,4.67478845580307,16.9694296210721,2.48342714794758,4.79002649278734,0.373216995900536
