value_vt,value_tt,Year
0.102879402765918,0.137793474024028,1979-01
0.089062506746224,0.137974638233786,1979-02
0.129917294464862,0.138155802445329,1979-03
0.127246721940285,0.138336966655881,1979-04
0.114455213542013,0.138518130866494,1979-05
0.122172524426181,0.138699295077108,1979-06
0.123985937259073,0.138880459287722,1979-07
0.163241636911753,0.139061623498335,1979-08
0.180042413592181,0.13924278770895,1979-09
0.190731838756948,0.139423951919563,1979-10
0.166969805542197,0.139605116130177,1979-11
0.143904134308537,0.139786280340791,1979-12
0.112106727712182,0.139967444551405,1980-01
0.035108990044839,0.140148608762018,1980-02
0.124831469787995,0.140329772972633,1980-03
0.101878979538987,0.140510937183246,1980-04
0.085968346051744,0.14069210139386,1980-05
0.11170849813736,0.140873265604474,1980-06
0.15294153662677,0.141054429815088,1980-07
0.184451303836244,0.141235594025702,1980-08
0.179967266981187,0.141416758236316,1980-09
0.197420482497263,0.141597922446929,1980-10
0.198532639602679,0.141779086657543,1980-11
0.131914126705392,0.141960250868157,1980-12
0.138465529438747,0.142141415078771,1981-01
0.145111632300161,0.142322579289385,1981-02
0.081152061605338,0.142503743499999,1981-03
0.11377843702235,0.142684907710612,1981-04
0.098606425192059,0.142866071921226,1981-05
0.117281211200911,0.14304723613184,1981-06
0.138950364722473,0.143228400342454,1981-07
0.178570257125452,0.143409564553068,1981-08
0.183390327243997,0.143590728763682,1981-09
0.164481771589046,0.143771892974295,1981-10
0.183256461051619,0.143953057184909,1981-11
0.123199663657393,0.144134221395523,1981-12
0.163420888793774,0.144315385606137,1982-01
0.141487160919718,0.144496549816751,1982-02
0.112121090801219,0.144677714027365,1982-03
0.118001913742978,0.144858878237979,1982-04
0.124337161215737,0.145040042448592,1982-05
0.106600720044048,0.145221206659206,1982-06
0.154837117745611,0.14540237086982,1982-07
0.161895599997718,0.145583535080434,1982-08
0.16561565342122,0.145764699291048,1982-09
0.158327748695529,0.145945863501662,1982-10
0.164492056256138,0.146127027712275,1982-11
0.141154732039981,0.146308191922889,1982-12
0.0341440254912,0.146489356133503,1983-01
0.049463305794931,0.146670520344117,1983-02
0.077963350166478,0.146851684554731,1983-03
0.095249511387259,0.147032848765345,1983-04
0.065520855328136,0.147214012975958,1983-05
0.107750576825828,0.147395177186573,1983-06
0.144730950594399,0.147576341397186,1983-07
0.220836691697483,0.1477575056078,1983-08
0.199764700004583,0.147938669818414,1983-09
0.241956394601186,0.148119834029028,1983-10
0.191923850422801,0.148300998239641,1983-11
0.177090738181227,0.148482162450256,1983-12
0.134786194095714,0.148663326660869,1984-01
0.156971430657349,0.148844490871483,1984-02
0.099480929809113,0.149025655082097,1984-03
0.121762157117036,0.149206819292711,1984-04
0.145261868084783,0.149387983503324,1984-05
0.12464587457976,0.149569147713939,1984-06
0.161788292492243,0.149750311924552,1984-07
0.190192269614763,0.149931476135166,1984-08
0.228029818298824,0.15011264034578,1984-09
0.208034592413729,0.150293804556394,1984-10
0.189416412617233,0.150474968767007,1984-11
0.17609262907248,0.150656132977622,1984-12
0.15416478929824,0.150837297188235,1985-01
0.147404353784698,0.151018461398849,1985-02
0.118258360618041,0.151199625609463,1985-03
0.096381659027648,0.151380789820077,1985-04
0.14581708978985,0.151561954030691,1985-05
0.166160157959072,0.151743118241305,1985-06
0.20273396796399,0.151924282451918,1985-07
0.226059646285731,0.152105446662532,1985-08
0.187629547151004,0.152286610873146,1985-09
