value_vt,value_tt,Year
0.846150354125222,0.881515991912078,1979-01
0.923385961162428,0.881032657255712,1979-02
0.742826234229254,0.880549322594244,1979-03
0.879969990640677,0.880065987935059,1979-04
0.83418519284694,0.879582653275704,1979-05
0.865620481366091,0.87909931861635,1979-06
0.877820738659877,0.878615983956997,1979-07
0.94488698631747,0.878132649297643,1979-08
0.92930619470518,0.877649314638288,1979-09
0.998704179799757,0.877165979978934,1979-10
0.881339892434757,0.876682645319581,1979-11
0.861261636825875,0.876199310660226,1979-12
0.872655426565896,0.875715976000872,1980-01
0.920321950919903,0.875232641341519,1980-02
0.799059447176577,0.874749306682164,1980-03
0.869041886651726,0.87426597202281,1980-04
0.882604530953966,0.873782637363457,1980-05
0.844189302772103,0.873299302704102,1980-06
0.877395422076871,0.872815968044748,1980-07
0.846393064544113,0.872332633385395,1980-08
0.936489134524613,0.87184929872604,1980-09
0.867034031830056,0.871365964066686,1980-10
0.893676056085144,0.870882629407333,1980-11
0.887896518687832,0.870399294747978,1980-12
0.789348578608423,0.869915960088624,1981-01
0.788382286179432,0.86943262542927,1981-02
0.898492810371138,0.868949290769916,1981-03
0.822688227225364,0.868465956110562,1981-04
0.827067697445126,0.867982621451208,1981-05
0.853167214492867,0.867499286791853,1981-06
0.867022912459331,0.8670159521325,1981-07
0.86807203031872,0.866532617473146,1981-08
0.841020696340085,0.866049282813791,1981-09
0.991754082484728,0.865565948154438,1981-10
0.893085981392396,0.865082613495084,1981-11
0.979522198539461,0.864599278835729,1981-12
0.798739056224846,0.864115944176376,1982-01
0.800235691097295,0.863632609517022,1982-02
0.823907498864424,0.863149274857667,1982-03
0.85413070832346,0.862665940198314,1982-04
0.825350356537391,0.86218260553896,1982-05
0.862601850868314,0.861699270879605,1982-06
0.83378368125916,0.861215936220251,1982-07
0.939678053610895,0.860732601560898,1982-08
0.861452232885138,0.860249266901543,1982-09
0.9277752393642,0.859765932242189,1982-10
0.866892955580252,0.859282597582836,1982-11
0.889207968928266,0.858799262923481,1982-12
0.935559886721719,0.858315928264127,1983-01
0.907911615717463,0.857832593604774,1983-02
0.944324371620001,0.857349258945419,1983-03
0.82421114562422,0.856865924286065,1983-04
0.937820110961275,0.856382589626712,1983-05
0.898332481721935,0.855899254967357,1983-06
0.855254645747304,0.855415920308003,1983-07
0.855616351274953,0.854932585648649,1983-08
0.871251334026549,0.854449250989295,1983-09
0.836886416796794,0.853965916329941,1983-10
0.910711734421578,0.853482581670587,1983-11
0.80371713180295,0.852999247011233,1983-12
0.796316459376144,0.852515912351879,1984-01
0.779212892959652,0.852032577692525,1984-02
0.872405554336346,0.85154924303317,1984-03
0.814362804745439,0.851065908373817,1984-04
0.74498437953185,0.850582573714463,1984-05
0.834768899541382,0.850099239055108,1984-06
0.848864668650903,0.849615904395755,1984-07
0.875034324382664,0.849132569736401,1984-08
0.834789343455402,0.848649235077046,1984-09
0.847985230336485,0.848165900417693,1984-10
0.861037820393172,0.847682565758339,1984-11
0.81704736074269,0.847199231098984,1984-12
0.865496534803746,0.846715896439631,1985-01
0.816385619745609,0.846232561780277,1985-02
0.861569904417316,0.845749227120922,1985-03
0.873636389696797,0.845265892461568,1985-04
0.795372217643237,0.844782557802215,1985-05
0.818493107624065,0.84429922314286,1985-06
0.849025988374804,0.843815888483506,1985-07
0.82459283894637,0.843332553824153,1985-08
0.869917343327017,0.842849219164798,1985-09
0.871365178591676,0.842365884505444,1985-10
0.806887271403348,0.841882549846091,1985-11
0.85871388074906,0.841399215186736,1985-12
0.778456543852853,0.840915880527382,1986-01
0.815030427740432,0.840432545868029,1986-02
0.822060568401489,0.839949211208674,1986-03
0.773921168210157,0.83946587654932,1986-04
0.862894235472108,0.838982541889966,1986-05
0.780441617386549,0.838499207230612,1986-06
0.791622936833243,0.838015872571258,1986-07
0.889841879627005,0.837532537911904,1986-08
0.841516913349247,0.83704920325255,1986-09
0.828339605346335,0.836565868593196,1986-10
0.843807390635982,0.836082533933842,1986-11
0.840498118181069,0.835599199274487,1986-12
0.822627698087301,0.835115864615134,1987-01
0.857233046622402,0.83463252995578,1987-02
0.842739886402405,0.834149195296425,1987-03
0.836532221774511,0.833665860637072,1987-04
0.820738546384438,0.833182525977718,1987-05
0.854929452530504,0.832699191318363,1987-06
0.866931058805402,0.83221585665901,1987-07
0.824811525415521,0.831732521999656,1987-08
0.892198136974399,0.831249187340301,1987-09
0.855436696800408,0.830765852680948,1987-10
0.833152741159234,0.830282518021594,1987-11
0.809636946814546,0.801029253907679,1987-12
0.791226766994922,0.79856721515006,1988-01
0.811508494375198,0.796105176392427,1988-02
0.821038072714007,0.793643137634795,1988-03
0.75130782475518,0.791181098877175,1988-04
0.80325979915596,0.788719060119543,1988-05
0.783123125102916,0.78625702136191,1988-06
0.792834790077724,0.78379498260429,1988-07
0.757899250048317,0.781332943846658,1988-08
0.725359711172838,0.778870905089025,1988-09
0.744475201782528,0.776408866331406,1988-10
0.771000268150544,0.773946827573773,1988-11
0.765925973075431,0.77148478881614,1988-12
0.766321911130956,0.769022750058521,1989-01
0.717240398792655,0.766560711300888,1989-02
0.774150563068831,0.764098672543255,1989-03
0.746609286011778,0.761636633785636,1989-04
0.75549775387716,0.759174595028003,1989-05
0.77730674410518,0.756712556270371,1989-06
0.790228964904155,0.754250517512751,1989-07
0.783848957184756,0.751788478755119,1989-08
0.776886581490751,0.749326439997486,1989-09
0.747196906563814,0.746864401239867,1989-10
0.761165924731105,0.744402362482234,1989-11
0.752253787825868,0.741940323724601,1989-12
