diff_1y,df_1y_norm,df_7y_norm
0.0,56.88531922282583,56.88531922282583
-0.7527290166729159,58.291461849017495,58.291461849017495
-0.4755963283001208,57.90146844116854,57.90146844116854
-2.0636690008753718,59.05356005404301,57.57391692459863
-1.4221160864039177,59.16144930166191,58.019048227839406
-1.1176729293864085,58.04172258414903,56.39801017111441
-1.300252496039576,57.80210814027858,57.45013067778255
-0.32501690240587067,57.8615075504941,58.37447720155664
-0.8476904365044433,59.1563645625544,58.6961709657086
-0.23207305989592442,60.315184577369344,60.75186018095397
-1.2689189588884204,59.16776072699656,57.78648194596811
6.722624575456095,52.41987994613187,58.49583214650269
11.049379558913024,46.30616326012955,58.69154652678431
21.3450131737641,37.50302633720949,59.87500893208304
21.852020418452753,41.60824879229055,63.410259211665256
20.373580406605626,38.1222790210813,59.275229935590765
23.010157917407355,35.95933000837103,59.9321995717295
23.26088729874288,35.78199155634839,59.315414144568216
25.559036518063174,32.80495089566444,58.93588687241815
28.192127337547515,29.891090944698032,60.37917928391489
17.118275894777177,40.684466229219005,59.50875625000528
6.918624399258739,51.174202197076895,60.45776402594348
8.983165232912178,49.37994112116346,59.60309624520532
16.725572376655023,41.64238921439596,60.26839837331606
24.041526702976704,36.95331613019059,62.259569789054055
31.33131174814358,29.32495453299669,61.215597915903736
36.39582665501351,23.343720321800685,61.57796703208503
39.47958958167791,21.964815426721145,64.05165350927133
63.88638111374259,0.0,67.17899286514961
61.77604477677888,0.0,61.80378739005317
61.97505957586272,0.0,60.192772766999845
62.58960139414869,0.0,62.92881984005607
59.71264797944452,0.0,61.7553419526069
61.025413763476685,0.0,52.75855225117385
62.41165514563733,0.0,48.85702584417783
63.122949371826174,0.0,59.23193483828433
61.523543478076746,0.0,54.93739843599197
61.47387500142068,0.0,52.684562322831326
