diff_1y,df_1y_norm,df_7y_norm
0.0,1.7287245579821815,1.7287245579821815
0.02123233968487903,1.7236935586719202,1.7236935586719202
0.020433201478626373,1.7502768358356062,1.7502768358356062
0.0820279381232063,1.6575132985172958,1.7150644945686462
0.054473158884214445,1.700973248824232,1.7259736933439769
0.08235404776732791,1.7197380192927365,1.7981796397874712
0.08421330735003996,1.7256387547772531,1.7938287832817
0.11456136964081254,1.7041260400059723,1.803984056657676
0.24251006961848853,1.5209753128407184,1.7398473449323462
0.6778080601916607,1.1355329903209042,1.783406486940832
0.613512697346648,1.220634683981742,1.808418323199681
1.0605451117475733,0.746809647810762,1.74895256392742
1.044155734364804,0.7520337417673111,1.7363889076997348
1.1873873329088869,0.6122501212084007,1.7389912479166358
1.1512092053187302,0.6832145794748938,1.7793632301696731
1.2382818572002825,0.6055968118160046,1.8066692367028647
1.309073992148622,0.5140348647689393,1.7866359922891328
1.1868336692200927,0.6740276451242743,1.804164643050296
1.335038382744416,0.5003378833846409,1.6629966666291367
1.4951247894865158,0.3743082763141405,1.7379174620749376
1.004499942370418,0.9180376542981856,1.8485267695682064
0.8253710635878468,1.0989256299801151,1.845133630176485
0.9672233218267684,0.9057277205349245,1.7649117043344469
1.1139257873802695,0.7471541517859431,1.7230937910893762
1.286945470446319,0.5875333146899163,1.768315978662306
1.5111807420991756,0.3885379143114143,1.6577413284099252
1.496537228962333,0.3742431814473949,1.355517936089186
1.638945587510023,0.2747600859033175,1.3135441563064485
1.904936579721272,0.0,1.5827037923796758
1.924157651614351,0.0,1.781989365338983
1.8179415421377123,0.0,1.5691577651360074
1.913059148362301,0.0,1.290164432102082
1.8743803946104785,0.0,1.4263259842512126
1.8279296199767348,0.0,0.8063349640761845
1.9095465156265663,0.0,0.865887375236232
1.9126329168318943,0.0,1.060089901597116
1.8459241743609047,0.0,0.7945750141886517
1.9359004431255853,0.0,0.9164855016419212
