photo,ar,npp,lai,f5,evapm,cleaf,cwood,croot,csap,cheart,csto,ctotal,wue,ls,Date,Spin
2.47961020110419,0.771290744291665,1.70831945930298,6.57532514720842,0.894175365192995,1.56523135637928,0.292679061505451,34.1180736362125,0.384991818901604,3.99997306440016,30.1181005718123,23.1233157796824,57.9190602963019,0.007583934317464,58,1979-01-01,1
2.71382712096495,0.856824826955458,1.85700228749978,7.90198974709758,0.890590771555496,1.69984801660537,0.278225210494862,33.707668305169,0.361636825941006,3.84930931382136,29.8583589913476,23.5389563860379,57.8864867276427,0.004669358932909,58,1979-01-02,1
2.58697054107129,0.784360506493198,1.80261003312791,7.48879964064194,0.890822877881255,1.69674489074691,0.247393385860446,33.3231201253979,0.321297297623921,3.68144234989826,29.6416777754996,23.9655955936458,57.8574064025281,0.004946874721399,58,1979-01-03,1
2.19990896458181,0.687172248114753,1.51273671938366,6.4759145268928,0.908032357559687,1.50595670470566,0.240759385159618,33.0038181502837,0.312385817246452,3.53758220974629,29.4662359405374,24.0193816999581,57.5763450526479,0.008611599494597,58,1979-01-04,1
2.49677605739674,0.673714120203352,1.82306194985607,6.20706730790834,0.906313862863741,1.49207852431617,0.208526622768103,32.641982512608,0.269753744051183,3.37900574889613,29.2629767637118,24.4774054112396,57.5976682906669,0.013425376909984,58,1979-01-05,1
2.48897105715813,0.619975605015675,1.8689954487666,5.50146158175483,0.862430097816999,1.819441605005,0.288875612753926,32.3822473874242,0.373694625036488,3.34123789249592,29.0410094949283,24.5247874883746,57.5696051135891,0.006140673746098,58,1979-01-06,1
2.52998893416237,0.888121330656815,1.70247327433674,8.03154077232268,0.859643222746712,1.7260635587729,0.293353637873692,32.4958322409314,0.382156713046994,3.55293349848561,28.9428987424458,24.1648611075729,57.336203699425,0.004842221433796,58,1979-01-07,1
2.49238647735564,0.959546601042654,1.6650843079306,8.88006449994754,0.891971875150998,1.57307837072896,0.274265481834339,32.8527083224759,0.363278412175887,3.6330528553368,29.2196554671391,23.7945012785651,57.2847534950513,0.006766807876993,58,1979-01-08,1
2.67969315862225,0.769868735197511,1.90982442261143,7.65557801436755,0.894584915589059,1.63134092272097,0.227544082329665,32.6521839687352,0.301368077586586,3.5045179154321,29.1476660533031,24.2432344833441,57.4243306119956,0.006192768680302,58,1979-01-09,1
2.40342472887482,0.644863730518995,1.75856100953911,6.13055836228054,0.877776443205204,1.67116759097485,0.234138054565834,32.5841553766544,0.308095140800255,3.59401464164914,28.9901407350053,24.2496938628422,57.3760824348627,0.007283323029605,58,1979-01-10,1
2.53997730167155,0.889356098659518,1.80207077942072,7.8357858959572,0.894549698740797,1.55860450510982,0.299450180347221,33.6452835817564,0.397813717971674,4.20828031201142,29.4370032697449,23.324086486845,57.6666339669202,0.008604716573773,58,1979-01-11,1
2.55902180479102,1.27217881336266,1.61885141436565,8.99786718128677,0.909782185508304,1.48521435819089,0.287022461950355,35.3315168509282,0.392780858760126,4.42093518355214,30.9105816673761,22.3493273142048,58.3606474858435,0.007685035450007,58,1979-01-12,1
2.66058430581427,0.876600211609418,1.78398410123831,7.59219134981968,0.892008571562601,1.58351803922521,0.27675652040328,35.4345119759423,0.374916961432397,4.38768020116017,31.0468317747822,22.4188385347511,58.5050239925291,0.005697199440719,58,1979-01-13,1
2.72145248585532,0.860515576173107,1.86151472780144,7.9901205285138,0.907075730063708,1.66837507910701,0.280060780283741,35.4708812900578,0.37480867946238,4.45602104417232,31.0148602458854,22.6302886482827,58.7560393980866,0.004517465531618,58,1979-01-14,1
2.83393252560134,1.05399792756274,1.91660576181486,8.09878766532574,0.904490960826633,1.82223448066493,0.249157622203409,35.8211189736401,0.336205343572107,4.37433978322009,31.44677919042,22.8357444071773,59.2422263465929,0.003752030612456,58,1979-01-15,1
2.7112098722847,0.833234779100844,1.87797509588016,6.9460672585943,0.884791740587423,1.97303793644545,0.267327598329973,35.6494951660044,0.351785408377046,4.23869098586395,31.4108041801404,23.091947420889,59.3605555936004,0.003380659525692,58,1979-01-16,1
2.6391632240589,0.873444315458931,1.76571890731648,7.18451469699229,0.869862822489785,2.01439441213471,0.243028859879012,35.2624395675108,0.318235558743815,4.03842240663006,31.2240171608807,23.5044264567443,59.3281304428779,0.003000995104375,58,1979-01-17,1
2.54059311865921,0.792307029337668,1.74830271296247,6.43135571766625,0.849741298048829,2.06567704143881,0.270495854663369,35.1813424772196,0.352789098786986,4.0328946589961,31.1484478182235,23.5445100278707,59.3491374585406,0.003202700127072,58,1979-01-18,1
2.70657102932694,0.996623478734868,1.80665732658712,8.08034795785648,0.872675406790785,1.9418795613609,0.265499597557971,35.2677672012081,0.347715671754823,4.01576353997094,31.2520036612372,23.4632906064912,59.3442730770121,0.003097887285041,58,1979-01-19,1
2.5841858053654,0.833722601990532,1.75109814251036,7.62723981759728,0.872346849026113,1.86680453250141,0.282393717390839,35.6517214951909,0.36912813754132,4.24851874153342,31.4032027536574,23.2140539086561,59.5172972587792,0.003700848402368,58,1979-01-20,1
2.64325351869544,1.10054203680158,1.74944483127973,8.37095910069866,0.892769318470222,1.77528245575185,0.293995916308692,36.4556658785382,0.392215854704846,4.29867021847891,32.1569956600592,22.9593580925208,60.1012357420725,0.003699414392261,58,1979-01-21,1
2.64709547051874,0.994221160623743,1.7386503305893,8.61954083045001,0.920630953628032,1.51988450045991,0.257654649730857,36.4548110270164,0.346793062629966,4.25966821814609,32.1951428088703,22.8398391592534,59.8990978986306,0.005910197360381,58,1979-01-22,1
