,Date,Monthly_NPP_Mean
0,1979-01,1.7865679684671134
1,1979-02,1.6938118515932323
2,1979-03,1.8306222408294266
3,1979-04,1.7248214654815577
4,1979-05,1.5788095925439185
5,1979-06,1.5901138178394898
6,1979-07,1.6410751747686516
7,1979-08,1.6456858247886645
8,1979-09,1.8611219771502516
9,1979-10,1.7118272574651672
10,1979-11,1.7904992129890476
11,1979-12,1.8880260577523915
12,1980-01,1.7610329559841746
13,1980-02,1.5899361829627188
14,1980-03,1.8294176424942292
15,1980-04,1.8271343552131105
16,1980-05,1.5664593727169343
17,1980-06,1.6807752197105943
18,1980-07,1.6307883515773887
19,1980-08,1.7719917096814275
20,1980-09,1.8371956934397689
21,1980-10,1.8852013070573894
22,1980-11,1.7763899806597157
23,1980-12,1.7773625966811608
24,1981-01,1.7709291201420523
25,1981-02,1.9425064705856399
26,1981-03,1.7179373024550775
27,1981-04,1.7482727850762028
28,1981-05,1.643210553551339
29,1981-06,1.5985034527386115
30,1981-07,1.7199073044193707
31,1981-08,1.8658405499035227
32,1981-09,1.874705330970103
33,1981-10,1.6868220462630459
34,1981-11,1.8432133067340075
35,1981-12,1.8527123548052462
36,1982-01,1.6777581531520793
37,1982-02,1.8492663610287214
38,1982-03,1.8031281646146402
39,1982-04,1.7915802261265854
40,1982-05,1.6713254028742794
41,1982-06,1.5999666780311077
42,1982-07,1.6759867092548664
43,1982-08,1.7325787230509835
44,1982-09,1.6578692338443586
45,1982-10,1.7650522377884637
46,1982-11,1.7676902067433609
47,1982-12,1.88836102612329
48,1983-01,1.5881879966578045
49,1983-02,1.718609869860171
50,1983-03,1.7768172347390365
51,1983-04,1.7080349363133753
52,1983-05,1.5757589708749788
53,1983-06,1.6210885844699778
54,1983-07,1.6732359521997238
55,1983-08,1.8272667358053782
56,1983-09,1.9034334104264938
57,1983-10,1.9215543924684186
58,1983-11,1.8709281641138558
59,1983-12,1.8795112849252038
60,1984-01,1.799259796467906
61,1984-02,1.8564835448118
62,1984-03,1.8049442057278762
63,1984-04,1.6933798414465602
64,1984-05,1.7330203739879046
65,1984-06,1.6285688973969594
66,1984-07,1.7825869064990787
67,1984-08,1.8695032790532033
68,1984-09,1.871262005019941
69,1984-10,1.925869392531781
70,1984-11,1.7988718962814711
71,1984-12,1.8578868373481658
72,1985-01,1.8274381375345996
73,1985-02,1.8210905249205935
74,1985-03,1.8034789778642188
75,1985-04,1.703305082693924
76,1985-05,1.7286902893323377
77,1985-06,1.6978524465087683
78,1985-07,1.83650460943368
79,1985-08,1.7955447840348853
80,1985-09,1.8197350307195845
81,1985-10,1.8301064459972651
82,1985-11,1.9277822403189622
83,1985-12,1.924856883914244
84,1986-01,1.8783404207990904
85,1986-02,1.7848801407344592
86,1986-03,1.8733181634493343
87,1986-04,1.8062070534296955
88,1986-05,1.6250489763026708
89,1986-06,1.7441592654538463
90,1986-07,1.7822727073824722
91,1986-08,1.7446394673793069
92,1986-09,1.8164914731272146
93,1986-10,1.9366425397188944
94,1986-11,1.960704003075854
95,1986-12,1.869976651675109
96,1987-01,1.7900248014043652
97,1987-02,1.8935570328445837
98,1987-03,1.8427427811928014
99,1987-04,1.7085682068925965
100,1987-05,1.6586906292121786
101,1987-06,1.7675698478763617
102,1987-07,1.648226890549539
103,1987-08,1.721755810842481
104,1987-09,1.807538591012741
105,1987-10,1.7294248155765184
106,1987-11,1.8294865507680915
107,1987-12,1.778736586753353
108,1988-01,1.795487779401964
109,1988-02,1.954332669114109
110,1988-03,1.6328124639240083
111,1988-04,1.744911450692755
112,1988-05,1.8098992319690088
113,1988-06,1.7355684672935672
114,1988-07,1.8091204288741085
115,1988-08,1.772642157192432
116,1988-09,1.7724754977747368
117,1988-10,1.865715858174034
118,1988-11,1.952639667753268
119,1988-12,1.9220422281373424
120,1989-01,1.8609846348265704
121,1989-02,1.9077683368018195
122,1989-03,1.9120728734072479
123,1989-04,1.841235154878733
124,1989-05,1.6766757887372488
125,1989-06,1.7418289380766327
126,1989-07,1.8073375474858677
127,1989-08,1.8425102817683148
128,1989-09,1.7395583636724732
129,1989-10,2.032505728233468
130,1989-11,1.9289139439017238
131,1989-12,1.7227579435582
132,1990-01,1.9256756128669317
133,1990-02,1.8166583153343654
134,1990-03,1.8866412495929843
135,1990-04,1.7220710914265451
136,1990-05,1.6960662601737742
137,1990-06,1.7228154350995608
138,1990-07,1.8513741233771086
139,1990-08,1.8735021440093507
140,1990-09,1.683284323699954
141,1990-10,1.641001186493537
142,1990-11,1.879110245894055
143,1990-12,1.9837917307710446
144,1991-01,1.8450146613013867
145,1991-02,1.8583179083595174
146,1991-03,1.857140950333135
147,1991-04,1.787257070047435
148,1991-05,1.689327472095625
149,1991-06,1.7063975197051204
150,1991-07,1.692632536548299
151,1991-08,1.8554056049791243
152,1991-09,1.970177932012598
153,1991-10,1.7106543908214982
154,1991-11,1.7595216982987207
155,1991-12,1.8296834404447788
156,1992-01,1.7620050910809186
157,1992-02,1.8282282916871164
158,1992-03,1.9245529672029178
159,1992-04,1.7137974512654577
160,1992-05,1.6068195502363736
161,1992-06,1.621903858369752
162,1992-07,1.640910108969153
163,1992-08,1.9826411508385255
164,1992-09,1.9013960711012736
165,1992-10,1.8460623344370126
166,1992-11,1.8688492909132226
167,1992-12,1.8973406552515393
168,1993-01,1.6181183826837597
169,1993-02,1.9280256318546498
170,1993-03,2.0266775396891807
171,1993-04,1.8972138101359404
172,1993-05,1.7043901763029594
173,1993-06,1.7153857145586953
174,1993-07,1.742593421044241
175,1993-08,1.8347804758647175
