diff_1y,df_1y_norm,df_7y_norm
0.0,0.006668910634514,0.006668910634514
9.100921323700051e-05,0.0065303309575782,0.0065303309575782
5.569408410729948e-05,0.0066942663014689,0.0066942663014689
0.00017005536617210014,0.0068906576332792,0.0069737159735513
-0.00010302620935069996,0.0064867367356102,0.0063601337785017
0.0003313509193202009,0.0077986720085643,0.0078484931928187
0.00017162873001919966,0.0082319386926327,0.0083805201251785
-8.599496280879866e-05,0.0088778706182229,0.008904440320493
0.00023612004027030037,0.007888617075761,0.0081544835511379
0.0009109663350218003,0.0072534517118719,0.0083254345396394
0.0008459196799459993,0.0080295639408186,0.0086248563445062
0.0006868122996016995,0.0066146359810841,0.0071217305632297
0.0004917498323211995,0.0072490366611748,0.0076505342921138
-0.00025868490486369994,0.0071634021925287,0.006892362048919
-0.0001907565914066999,0.0076038052486571,0.0076411153534413
0.00017372024859320032,0.0085429295222732,0.008731079838496
-0.0014086781241984996,0.0089059549189273,0.0075926631776453
-0.0022895468690759986,0.0108997567178496,0.0085098588151365
-0.0032227293297851,0.0109727255940787,0.007478798232241
-0.011044797807702601,0.019294646317547,0.0081564095070447
-0.0242249615663754,0.03416390088587,0.0097607806012862
-0.0214366330930639,0.0303144252315157,0.0088981375764599
-0.018890572979931602,0.0272003702129321,0.0081983075394512
-0.0208488424678562,0.0287997264956839,0.0080510270165349
-0.0234728347101479,0.031957827616602,0.0084794686067514
-0.0194016375952984,0.0273215208207602,0.0076679298429247
-0.0258806531354111,0.0334058976377727,0.0072279873769527
-0.0200010293560572,0.0274239557049888,0.0069547846031874
0.0072877413860963,0.0,0.00708364823269
0.0079128246738046,0.0,0.007822564002118
0.0067759645669371,0.0,0.0067261340703469
0.0066193222791422,0.0,0.0064153630141376
0.0067109092798908,0.0,0.0066603566260949
0.0065713839839156,0.0,0.0064842323248666
0.0113422640606135,0.0,0.0106312961412379
0.0115167267105732,0.0,0.0106891664749679
0.0085992177106651,0.0,0.0080599546357355
0.0082539037287391,0.0,0.008404726222006
