YEAR,PID,OC,g1,sla_random,wd_random,sla_ocp,wd_ocp,g1_ocp
1979,2934,0.015945840403303647,11.279744181446882,0.03465625490980366,0.3716552961006842,0.0005526231097679376,0.005926356036664071,0.17986500050744492
1980,2934,0.003549024276729575,11.279744181446882,0.03465625490980366,0.3716552961006842,0.00012299589001542172,0.0013190136684364468,0.040032085935254154
1981,2934,0.009642455989723565,11.279744181446882,0.03465625490980366,0.3716552961006842,0.000334171412736423,0.0035836698359985276,0.10876443684494201
1982,2934,0.01081127477074548,11.279744181446882,0.03465625490980366,0.3716552961006842,0.0003746782943548845,0.004018067526147268,0.1219484136893398
1983,2934,0.006459496584319783,11.279744181446882,0.03465625490980366,0.3716552961006842,0.00022386196021519246,0.002400706115706727,0.07286146901205708
1984,2934,0.009286757967248352,11.279744181446882,0.03465625490980366,0.3716552961006842,0.00032184425139860897,0.0034514727821330746,0.10475225414557507
1985,2934,0.013078710860753129,11.279744181446882,0.03465625490980366,0.3716552961006842,0.00045325913748187806,0.0048607721575684385,0.14752451273240624
1986,2934,0.014746404850990968,11.279744181446882,0.03465625490980366,0.3716552961006842,0.0005110551655191082,0.005480579461315614,0.16633567431522545
1987,2934,0.011407606155174912,11.279744181446882,0.03465625490980366,0.3716552961006842,0.000395344906824387,0.004239697243401519,0.12867487915307185
1988,2934,0.01467563840375696,11.279744181446882,0.03465625490980366,0.3716552961006842,0.0005086026654847052,0.005454278736414866,0.16553744689379596
1989,2934,0.007993165549266506,11.279744181446882,0.03465625490980366,0.3716552961006842,0.0002770131828116408,0.002970702308994431,0.09016086259568053
1990,2934,0.007361487243015356,11.279744181446882,0.03465625490980366,0.3716552961006842,0.0002551215784092079,0.0027359357210442817,0.0830356928961979
1991,2934,0.013250135155765959,11.279744181446882,0.03465625490980366,0.3716552961006842,0.0004592000615475761,0.004924482904690283,0.14945813492663584
1992,2934,0.011542181379730437,11.279744181446882,0.03465625490980366,0.3716552961006842,0.0004000087801111273,0.004289712838331519,0.13019285325921892
1993,2934,0.015859988532771215,11.279744181446882,0.03465625490980366,0.3716552961006842,0.0005496478054582821,0.005894448734300541,0.17889661337034038
1994,2934,0.02174131566882057,11.279744181446882,0.03465625490980366,0.3716552961006842,0.000753472577893154,0.008080275112513954,0.24523647891237874
1995,2934,0.009089938247480864,11.279744181446882,0.03465625490980366,0.3716552961006842,0.0003150232170190708,0.003378323690904435,0.10253217805673374
1996,2934,0.0049386105351937205,11.279744181446882,0.03465625490980366,0.3716552961006842,0.00017115374560791545,0.0018354607607833807,0.05570626344878364
1997,2934,0.007232300756700694,11.279744181446882,0.03465625490980366,0.3716552961006842,0.00025064445860858514,0.0026879228792207987,0.08157850237886853
1998,2934,0.012236075259902458,11.279744181446882,0.03465625490980366,0.3716552961006842,0.0004240565433027217,0.004547602173829305,0.1380197987166309
1999,2934,0.00669981788284041,11.279744181446882,0.03465625490980366,0.3716552961006842,0.00023219059639697834,0.002490022799067712,0.07557223178072288
2000,2934,0.005223949905577202,11.279744181446882,0.03465625490980366,0.3716552961006842,0.00018104253956372827,0.0019415086489724363,0.05892481855160443
2001,2934,0.010083662796467168,11.279744181446882,0.03465625490980366,0.3716552961006842,0.0003494619882988698,0.003747646682400459,0.11374113675612293
2002,2934,0.009185600313641507,11.279744181446882,0.03465625490980366,0.3716552961006842,0.0003183385059691325,0.003413877004428972,0.10361122169089444
2003,2934,0.010815990303761026,11.279744181446882,0.03465625490980366,0.3716552961006842,0.00037484171706910684,0.0040198200789664336,0.12200160369543432
2004,2934,0.011340379865699128,11.279744181446882,0.03465625490980366,0.3716552961006842,0.000393015095399674,0.004214712236880647,0.1279165838055171
2005,2934,0.014790234651691747,11.279744181446882,0.03465625490980366,0.3716552961006842,0.0005125741422648403,0.005496869038873096,0.16683006325465402
2006,2934,0.01581913456235346,11.279744181446882,0.03465625490980366,0.3716552961006842,0.0005482319598454069,0.005879265139828043,0.17843579103523172
2007,2934,0.013192524505415502,11.279744181446882,0.03465625490980366,0.3716552961006842,0.0004572034921635111,0.004903071601375731,0.1488083015285559
2008,2934,0.013038486520950163,11.279744181446882,0.03465625490980366,0.3716552961006842,0.00045186511250808794,0.0048458225686485125,0.1470707924695612
2009,2934,0.020136449849652675,11.279744181446882,0.03465625490980366,0.3716552961006842,0.0006978539389680407,0.007483818231289243,0.2271340030266167
2010,2934,0.012882107067150185,11.279744181446882,0.03465625490980366,0.3716552961006842,0.00044644558629454006,0.004787703316442418,0.14530687223546304
2011,2934,0.009279768658086673,11.279744181446882,0.03465625490980366,0.3716552961006842,0.0003216020281186584,0.0034488751683670513,0.10467341652622628
2012,2934,0.011873381414856984,11.279744181446882,0.03465625490980366,0.3716552961006842,0.0004114869329546089,0.004412805085455033,0.13392870492833261
2013,2934,0.0161966547975724,11.279744181446882,0.03465625490980366,0.3716552961006842,0.0005613153973507635,0.0060195725346323375,0.18269412271182098
2014,2934,0.02203001345015553,11.279744181446882,0.03465625490980366,0.3716552961006842,0.0007634777617949932,0.008187571171919608,0.24849291603158835
2015,2934,0.017273974577073508,11.279744181446882,0.03465625490980366,0.3716552961006842,0.0005986512662485274,0.006419964136277946,0.19484601422620626
2016,2934,0.019064420353460686,11.279744181446882,0.03465625490980366,0.3716552961006842,0.0006607014114771827,0.007085392791453342,0.21504178455460568
1979,2945,0.009904357836647924,2.824809082141122,0.04289991639082103,0.4900545378734914,0.000424896123096969,0.004853675502572191,0.02797791996973865
1980,2945,0.0056908723647618705,2.824809082141122,0.04289991639082103,0.4900545378734914,0.00024413794863911822,0.0027888378268104016,0.016075627941285257
1981,2945,0.009668385085583556,2.824809082141122,0.04289991639082103,0.4900545378734914,0.00041477291180579557,0.004738035985098606,0.0273113419993942
1982,2945,0.01362913741688454,2.824809082141122,0.04289991639082103,0.4900545378734914,0.0005846888556633573,0.0066790206384456634,0.03849971115696484
1983,2945,0.012166201449218235,2.824809082141122,0.04289991639082103,0.4900545378734914,0.000521929024965348,0.005962102228872444,0.03436719634891015
1984,2945,0.017343175160759762,2.824809082141122,0.04289991639082103,0.4900545378734914,0.0007440207643479579,0.00849910168866514,0.04899115870727849
1985,2945,0.01919751318965969,2.824809082141122,0.04289991639082103,0.4900545378734914,0.0008235717107480847,0.009407828454478935,0.05422930961267467
1986,2945,0.027220425437122987,2.824809082141122,0.04289991639082103,0.4900545378734914,0.0011677539753751542,0.013339493008309136,0.07689250499453024
1987,2945,0.01875400070089821,2.824809082141122,0.04289991639082103,0.4900545378734914,0.0008045450620619322,0.009190483146757807,0.052976471506378235
1988,2945,0.009136642690900395,2.824809082141122,0.04289991639082103,0.4900545378734914,0.000391961207532433,0.004477453211604406,0.025809271253533734
1989,2945,0.025203291885964103,2.824809082141122,0.04289991639082103,0.4900545378734914,0.001081219114681318,0.012350987558066854,0.07119448781932505
1990,2945,0.021655804610426717,2.824809082141122,0.04289991639082103,0.4900545378734914,0.0009290322071632628,0.010612525320641289,0.06117351354460697
1991,2945,0.013027366172384144,2.824809082141122,0.04289991639082103,0.4900545378734914,0.00055887291958789,0.0063841199093164665,0.036799822280128756
1992,2945,0.016618889532107353,2.824809082141122,0.04289991639082103,0.4900545378734914,0.0007129489714356962,0.008144162229627473,0.046945190085396875
1993,2945,0.017774869759133338,2.824809082141122,0.04289991639082103,0.4900545378734914,0.0007625404265245533,0.008710655585573586,0.05021061352947543
1994,2945,0.011987020791142151,2.824809082141122,0.04289991639082103,0.4900545378734914,0.0005142421897150317,0.0058742939342831,0.033861045198632804
1995,2945,0.015675578816705945,2.824809082141122,0.04289991639082103,0.4900545378734914,0.0006724810206144103,0.007681888532920323,0.04428051740924994
1996,2945,0.011846371139360554,2.824809082141122,0.04289991639082103,0.4900545378734914,0.0005082083314132031,0.005805367934177202,0.03346373678488016
1997,2945,0.01604560297912679,2.824809082141122,0.04289991639082103,0.4900545378734914,0.0006883550262448481,0.007863220552837495,0.045325765023868
1998,2945,0.018798660184392874,2.824809082141122,0.04289991639082103,0.4900545378734914,0.0008064609501699106,0.009212368729303453,0.053102626020957694
1999,2945,0.0080757506058148,2.824809082141122,0.04289991639082103,0.4900545378734914,0.0003464490257825772,0.003957558231114141,0.022812453656412317
2000,2945,0.021504922840102338,2.824809082141122,0.04289991639082103,0.4900545378734914,0.0009225593918314478,0.010538585024411441,0.060747301349465134
2001,2945,0.015820129794578936,2.824809082141122,0.04289991639082103,0.4900545378734914,0.000678682245479373,0.007752726395581033,0.04468884632437794
2002,2945,0.010043986312279315,2.824809082141122,0.04289991639082103,0.4900545378734914,0.00043088617302733346,0.004922101070671712,0.028372343755827725
