photo,ar,npp,lai,f5,evapm,cleaf,cwood,croot,csap,cheart,csto,wue,ls,Date,Spin
2.479610201104188,0.7712907442916654,1.7083194593029798,6.575325147208423,0.8941753651929951,1.5652313563792835,0.2926790615054506,34.118073636212465,0.384991818901604,3.9999730644001597,30.118100571812295,23.123315779682372,0.0075839343174637025,58.0,1979-01-01,1
2.7138271209649494,0.8568248269554585,1.8570022874997771,7.901989747097576,0.8905907715554955,1.699848016605371,0.27822521049486243,33.70766830516898,0.36163682594100577,3.8493093138213603,29.858358991347618,23.538956386037867,0.004669358932909227,58.0,1979-01-02,1
2.5869705410712855,0.7843605064931979,1.802610033127912,7.48879964064194,0.8908228778812548,1.696744890746909,0.24739338586044596,33.32312012539786,0.3212972976239209,3.6814423498982567,29.641677775499588,23.965595593645837,0.00494687472139944,58.0,1979-01-03,1
2.199908964581811,0.6871722481147527,1.512736719383657,6.475914526892797,0.9080323575596871,1.505956704705659,0.24075938515961787,33.00381815028371,0.3123858172464521,3.537582209746288,29.46623594053743,24.019381699958085,0.008611599494596615,58.0,1979-01-04,1
2.4967760573967417,0.673714120203352,1.8230619498560725,6.207067307908336,0.9063138628637407,1.4920785243161654,0.20852662276810266,32.64198251260796,0.26975374405118346,3.379005748896127,29.262976763711826,24.47740541123961,0.013425376909983546,58.0,1979-01-05,1
2.488971057158127,0.6199756050156753,1.868995448766597,5.501461581754825,0.8624300978169995,1.8194416050049975,0.28887561275392587,32.38224738742416,0.3736946250364877,3.341237892495918,29.041009494928254,24.52478748837457,0.006140673746097524,58.0,1979-01-06,1
2.5299889341623665,0.8881213306568149,1.702473274336741,8.031540772322675,0.859643222746712,1.7260635587728976,0.29335363787369206,32.495832240931435,0.38215671304699383,3.5529334984856122,28.942898742445838,24.164861107572886,0.004842221433796233,58.0,1979-01-07,1
2.4923864773556357,0.959546601042654,1.6650843079305957,8.880064499947535,0.8919718751509982,1.573078370728962,0.27426548183433924,32.85270832247593,0.36327841217588647,3.633052855336802,29.219655467139127,23.794501278565107,0.006766807876992594,58.0,1979-01-08,1
2.6796931586222494,0.7698687351975111,1.9098244226114296,7.655578014367547,0.8945849155890593,1.6313409227209676,0.22754408232966516,32.65218396873519,0.3013680775865864,3.5045179154320962,29.147666053303084,24.24323448334412,0.006192768680301701,58.0,1979-01-09,1
2.403424728874818,0.6448637305189954,1.7585610095391129,6.130558362280542,0.8777764432052042,1.6711675909748518,0.23413805456583353,32.58415537665442,0.30809514080025513,3.5940146416491388,28.990140735005273,24.249693862842236,0.00728332302960464,58.0,1979-01-10,1
2.5399773016715526,0.8893560986595177,1.8020707794207242,7.835785895957201,0.894549698740797,1.5586045051098196,0.29945018034722093,33.64528358175636,0.3978137179716744,4.208280312011415,29.437003269744938,23.32408648684499,0.008604716573772686,58.0,1979-01-11,1
2.5590218047910236,1.272178813362655,1.6188514143656456,8.997867181286766,0.9097821855083044,1.4852143581908903,0.2870224619503555,35.33151685092823,0.3927808587601259,4.420935183552138,30.91058166737608,22.349327314204828,0.007685035450006969,58.0,1979-01-12,1
2.6605843058142664,0.876600211609418,1.7839841012383135,7.592191349819676,0.8920085715626007,1.5835180392252142,0.2767565204032803,35.43451197594232,0.3749169614323973,4.387680201160168,31.04683177478216,22.418838534751092,0.005697199440719398,58.0,1979-01-13,1
2.7214524858553215,0.8605155761731071,1.8615147278014395,7.990120528513803,0.9070757300637079,1.668375079107012,0.2800607802837413,35.470881290057754,0.3748086794623797,4.456021044172323,31.014860245885437,22.63028864828273,0.004517465531618123,58.0,1979-01-14,1
2.833932525601344,1.0539979275627387,1.9166057618148644,8.098787665325737,0.9044909608266332,1.8222344806649338,0.249157622203409,35.82111897364011,0.3362053435721066,4.374339783220093,31.44677919042002,22.835744407177277,0.0037520306124560034,58.0,1979-01-15,1
2.7112098722847042,0.8332347791008439,1.8779750958801602,6.9460672585943,0.8847917405874228,1.9730379364454536,0.26732759832997294,35.64949516600437,0.35178540837704597,4.2386909858639505,31.410804180140413,23.091947420889046,0.0033806595256917166,58.0,1979-01-16,1
2.6391632240589025,0.8734443154589314,1.7657189073164843,7.184514696992294,0.8698628224897855,2.014394412134715,0.24302885987901207,35.26243956751077,0.3182355587438151,4.0384224066300565,31.224017160880706,23.504426456744277,0.003000995104375253,58.0,1979-01-17,1
2.5405931186592112,0.7923070293376683,1.7483027129624666,6.431355717666252,0.8497412980488289,2.0656770414388066,0.2704958546633689,35.1813424772196,0.3527890987869861,4.032894658996098,31.148447818223506,23.54451002787067,0.003202700127072203,58.0,1979-01-18,1
2.7065710293269363,0.9966234787348675,1.8066573265871182,8.080347957856484,0.8726754067907847,1.9418795613608981,0.26549959755797137,35.267767201208116,0.3477156717548227,4.015763539970939,31.252003661237175,23.463290606491192,0.0030978872850414363,58.0,1979-01-19,1
2.5841858053653994,0.8337226019905316,1.7510981425103558,7.6272398175972835,0.8723468490261135,1.8668045325014067,0.2823937173908386,35.65172149519087,0.36912813754131985,4.248518741533417,31.403202753657443,23.21405390865613,0.0037008484023676783,58.0,1979-01-20,1
2.643253518695437,1.100542036801581,1.7494448312797284,8.37095910069866,0.8927693184702221,1.7752824557518518,0.29399591630869243,36.45566587853816,0.39221585470484643,4.298670218478914,32.156995660059245,22.959358092520777,0.0036994143922609505,58.0,1979-01-21,1
2.647095470518739,0.9942211606237426,1.738650330589298,8.619540830450012,0.9206309536280325,1.5198845004599078,0.25765464973085694,36.45481102701641,0.34679306262996556,4.259668218146094,32.19514280887033,22.83983915925337,0.005910197360381349,58.0,1979-01-22,1
