YEAR,PID,OC,g1,sla_random,wd_random,sla_ocp,wd_ocp,g1_ocp
1986,5968,0.0067648217655575885,3.584479728841781,0.031782320723818584,0.4053103247313763,0.00021500173499241996,0.0027418521065480286,0.024248366487868843
1987,5968,0.00609416350555363,3.584479728841781,0.031782320723818584,0.4053103247313763,0.00019368665907689605,0.002470027389402044,0.021844405549904352
1988,5968,0.010847410402987926,3.584479728841781,0.031782320723818584,0.4053103247313763,0.00034475587645064847,0.004396567432929546,0.038882322699937674
1989,5968,0.01645445163484475,3.584479728841781,0.031782320723818584,0.4053103247313763,0.0005229606591931969,0.006669159135395652,0.058980648334308515
1990,5968,0.01654516621096364,3.584479728841781,0.031782320723818584,0.4053103247313763,0.0005258437789457327,0.0067059266897002675,0.05930581289351714
1991,5968,0.004011183549807615,3.584479728841781,0.031782320723818584,0.4053103247313763,0.00012748472206209076,0.0016257741071296792,0.014378006122949013
1992,5968,0.005961017784766049,3.584479728841781,0.031782320723818584,0.4053103247313763,0.00018945497907582116,0.0024160620540730365,0.021367147412759243
1993,5968,0.011597067228662815,3.584479728841781,0.031782320723818584,0.4053103247313763,0.00036858171011704756,0.004700411084380927,0.04156945239515719
1994,5968,0.02282901383134161,3.584479728841781,0.031782320723818584,0.4053103247313763,0.0007255590393961895,0.009252835009278149,0.08183013730789264
1995,5968,0.0072641489706249405,3.584479728841781,0.031782320723818584,0.4053103247313763,0.00023087151236999849,0.0029442345781810876,0.02603819473249199
1996,5968,0.008064316365660275,3.584479728841781,0.031782320723818584,0.4053103247313763,0.0002563026891517539,0.0032685506849023183,0.02890637853967628
1997,5968,0.008374883207265284,3.584479728841781,0.031782320723818584,0.4053103247313763,0.0002661732241178277,0.003394426632324043,0.030019599087859852
1998,5968,0.0048560303430832145,3.584479728841781,0.031782320723818584,0.4053103247313763,0.00015433591380846552,0.001968199235260474,0.017406342327422383
1999,5968,0.007144721170830562,3.584479728841781,0.031782320723818584,0.4053103247313763,0.00022707581973359356,0.002895829257864474,0.025610108205068868
2000,5968,0.014593049424380932,3.584479728841781,0.031782320723818584,0.4053103247313763,0.000463800977144211,0.005914713601016859,0.052308489843679674
2001,5968,0.015022836653326457,3.584479728841781,0.031782320723818584,0.4053103247313763,0.0004774606126975589,0.006088910802346168,0.05384905345354999
2002,5968,0.019139687103670082,3.584479728841781,0.031782320723818584,0.4053103247313763,0.000608303674082377,0.007757512795245456,0.06860582043947987
2003,5968,0.004054033201606499,3.584479728841781,0.031782320723818584,0.4053103247313763,0.00012884658343846684,0.0016431415134149114,0.014531599831210041
2004,5968,0.00806291019362172,3.584479728841781,0.031782320723818584,0.4053103247313763,0.00025625799774103174,0.0032679807488567437,0.028901338144508817
2005,5968,0.02386958538661351,3.584479728841781,0.031782320723818584,0.4053103247313763,0.0007586308183019238,0.009674589404251636,0.08556004495417414
2006,5968,0.014298960965468966,3.584479728841781,0.031782320723818584,0.4053103247313763,0.00045445416342189735,0.0057955165122355,0.051254335724223415
2007,5968,0.0037227994066923475,3.584479728841781,0.031782320723818584,0.4053103247313763,0.00011831920473393772,0.0015088890364362503,0.01334429900783293
2008,5968,0.008170390190781255,3.584479728841781,0.031782320723818584,0.4053103247313763,0.00025967396148215114,0.0033115435014076018,0.02928659801558314
