,Date,Monthly_NPP_Mean
0,1979-01,1.7865679684671134
1,1979-02,1.6938118515932323
2,1979-03,1.8306222408294266
3,1979-04,1.7248214654815577
4,1979-05,1.5788095925439185
5,1979-06,1.5901138178394898
6,1979-07,1.6410751747686516
7,1979-08,1.6456858247886645
8,1979-09,1.8611219771502516
9,1979-10,1.7118272574651672
10,1979-11,1.7904992129890476
11,1979-12,1.8880260577523915
12,1980-01,1.7522767680699092
13,1980-02,1.5966317433030979
14,1980-03,1.8090035528689876
15,1980-04,1.7976481272229663
16,1980-05,1.4862975067691917
17,1980-06,1.6782129436604873
18,1980-07,1.644368967639095
19,1980-08,1.7754509797138212
20,1980-09,1.7412717994435174
21,1980-10,1.8265860410435992
22,1980-11,1.8604166957237476
23,1980-12,1.7138560205602777
24,1981-01,1.8832887876255369
25,1981-02,1.9546950057908796
26,1981-03,1.7243649175371438
27,1981-04,1.6433511492990707
28,1981-05,1.692479995067804
29,1981-06,1.602742770404406
30,1981-07,1.7536495513935988
31,1981-08,1.660363745590021
32,1981-09,1.9178523411943182
33,1981-10,1.6767479853265586
34,1981-11,1.871659473933302
35,1981-12,1.6430215617470372
36,1982-01,1.7771700337346283
37,1982-02,1.8867508946024747
38,1982-03,1.8605256640674652
39,1982-04,1.715560539543518
40,1982-05,1.6231514698518368
41,1982-06,1.5558800144253664
42,1982-07,1.7315807470356257
43,1982-08,1.6101789404320888
44,1982-09,1.6673233575060082
45,1982-10,1.6198803424863453
46,1982-11,1.752084686106193
47,1982-12,1.7918372392066546
48,1983-01,1.665872535544578
49,1983-02,1.5915277633910827
50,1983-03,1.7524839541884614
51,1983-04,1.7379579827616642
52,1983-05,1.5311808348418023
53,1983-06,1.6087362991034675
54,1983-07,1.66719604161945
55,1983-08,1.8268842064181312
56,1983-09,1.8371558550380724
57,1983-10,1.946117162727689
58,1983-11,1.7802731612278737
59,1983-12,1.7552304824556608
60,1984-01,1.9742070768704085
61,1984-02,1.8788897742890616
62,1984-03,1.7314094433550733
63,1984-04,1.659679306135323
64,1984-05,1.725645330019217
65,1984-06,1.6310278084358287
66,1984-07,1.7604494059826525
67,1984-08,1.7649994717387916
68,1984-09,1.7524143871013675
69,1984-10,1.8148164396581001
70,1984-11,1.8158048267224554
71,1984-12,1.8067823801646385
72,1985-01,1.7940780262177114
73,1985-02,1.8794555427088795
74,1985-03,1.838345162009627
75,1985-04,1.5776719896575595
76,1985-05,1.7191860135438457
77,1985-06,1.724171521480788
78,1985-07,1.8054444037057578
79,1985-08,1.7933543446371178
80,1985-09,1.7407318162587742
81,1985-10,1.7599837397077016
82,1985-11,1.8045856071720248
83,1985-12,1.8782479244708004
84,1986-01,1.8639390099272404
85,1986-02,1.8396491278666083
86,1986-03,1.806599945371516
87,1986-04,1.7169136658508164
88,1986-05,1.6557906515585958
89,1986-06,1.738252140069273
90,1986-07,1.7473927904230997
91,1986-08,1.6938558618713682
92,1986-09,1.7227853475501402
93,1986-10,1.873924860756749
94,1986-11,1.8982297367347878
95,1986-12,1.8446329374024193
96,1987-01,1.8343501871985535
97,1987-02,1.915857156310887
98,1987-03,1.8134667194563634
99,1987-04,1.621890333338193
100,1987-05,1.662250531474157
101,1987-06,1.643116641482723
102,1987-07,1.6566183652267843
103,1987-08,1.7001024802579334
104,1987-09,1.6079893445600044
105,1987-10,1.5226155639210766
106,1987-11,1.752167624288259
107,1987-12,1.7092722914457166
108,1988-01,1.7955436333338157
109,1988-02,1.890438952963406
110,1988-03,1.6152643996956377
111,1988-04,1.7433350474799034
112,1988-05,1.7699424605393157
113,1988-06,1.7226603411844854
114,1988-07,1.7263410298479505
115,1988-08,1.5719990932187053
116,1988-09,1.7149600607393347
117,1988-10,1.6381245522556587
118,1988-11,1.7531102651261858
119,1988-12,1.8709699978036585
120,1989-01,1.9136525328706466
121,1989-02,1.8884404654267386
122,1989-03,1.8726873874490666
123,1989-04,1.7719736452931734
124,1989-05,1.7241763317118588
125,1989-06,1.7134136325675517
126,1989-07,1.7640616565927998
127,1989-08,1.6577211737160265
128,1989-09,1.7222637387417936
129,1989-10,1.7948041548111209
130,1989-11,1.85469344365628
131,1989-12,1.7214730961677467
132,1990-01,1.776509366988723
133,1990-02,1.79648105033975
134,1990-03,1.8892876533916734
135,1990-04,1.7889391144555755
136,1990-05,1.6573426691675974
137,1990-06,1.6082275236204806
138,1990-07,1.734595579782131
139,1990-08,1.8269781291991056
140,1990-09,1.515877722154962
141,1990-10,1.5027865971599024
142,1990-11,1.4868844359717022
143,1990-12,1.6094040827369096
144,1991-01,1.7070049475971556
145,1991-02,1.7503478804635844
146,1991-03,1.7888491285212154
147,1991-04,1.816787271063779
148,1991-05,1.5539412677924405
149,1991-06,1.6941239307953757
150,1991-07,1.7665079924656915
151,1991-08,1.6875108793720757
152,1991-09,1.724273997890216
153,1991-10,1.6104572971592073
154,1991-11,1.4797128920939002
155,1991-12,1.4296261797143701
156,1992-01,1.5575827304772567
157,1992-02,1.362964495565256
158,1992-03,1.5284193431476507
159,1992-04,1.5443760775440734
160,1992-05,1.2076832264747952
161,1992-06,1.2633956133032918
162,1992-07,1.150201125575973
163,1992-08,1.2508755868380979
164,1992-09,0.9970898870257912
165,1992-10,0.915458204409634
166,1992-11,0.7929322196378485
167,1992-12,0.945527536129302
168,1993-01,1.330510615517042
169,1993-02,1.4978749208221205
170,1993-03,1.644443776301782
171,1993-04,1.782619320728018
172,1993-05,1.5004484841100107
173,1993-06,1.390026899391778
174,1993-07,1.5983146228991156
175,1993-08,1.4003474749682432
