date,npp,photo,ar,lai,f5,evapm,cleaf,cwood,croot,csap,cheart,csto,ctotal,wue,climate
1994-05,0.717961432459014,1.41913614152972,0.721184372572815,6.32961424970183,0.49223932767454,1.31492669393654,0.217249379660335,31.2321587104946,0.284064801833786,3.39718401396657,27.834974696528,6.49949191971871,38.2329648117075,0.008783021754299,1y
1994-06,0.673532622359181,1.31130150523749,0.650768146254733,5.78057584028478,0.462759381489446,1.30742599084071,0.201571072467556,30.7937782794074,0.262511956776707,3.07985070261826,27.7139275767891,6.72067677310452,37.9785380817561,0.009485750924739,1y
1994-07,0.606458720543553,1.26176594584115,0.668801509174071,5.76778644844592,0.424802641049593,1.24787985794756,0.202839078821789,31.2979177417213,0.264209072614287,3.15246683203209,28.1454509096892,5.7191236685269,37.4840895616843,0.007117873420088,1y
1994-08,0.605809698338306,1.2802004349308,0.679156240383297,5.93789372822845,0.413170816461908,1.25358235620494,0.208406428884862,32.3123522823258,0.270392217763768,3.1358032213598,29.1765490609661,5.09065606608553,37.88180699506,0.007776087952674,1y
1994-09,0.512631516930943,1.2185258614792,0.716645725641002,6.1871095735773,0.379281180372407,1.14276376590182,0.21615488933106,33.3466618542169,0.281089038741017,3.32961305025147,30.0170488039654,3.6438953736416,37.4878011559305,0.005349991165438,1y
1994-10,0.40996431380508,1.07621930628614,0.680876735312591,5.95431628208423,0.332919114437264,1.05888997489594,0.21261510066842,35.8184422388854,0.276892442582252,3.04167465366589,32.7767675852195,2.543562600923,38.851512383059,0.004208845867237,1y
1994-11,0.345224710347733,0.847508582876358,0.513914168156211,4.71212547216953,0.281796142421482,1.12038481219862,0.162484126157009,36.7939638052536,0.211496812124912,2.2893127776653,34.5046510275884,2.05866949198717,39.2266142355228,0.005910897497666,1y
1994-12,0.4143339943964,0.913742094475747,0.507099675284564,4.66776705445424,0.31103128912135,1.19941026701139,0.165657302228687,34.4855212126579,0.215042936658317,2.29809261796682,32.1874285946911,2.64423318461657,37.5104546361615,0.00947953372972,1y
1995-01,0.43678824299077,0.975215090842262,0.541106106256363,4.93499754948246,0.332675154515205,1.16078326142145,0.176948414202889,33.7825927013814,0.229404886239718,2.4658361656903,31.3167565356911,3.01767188590798,37.206617887732,0.008285493937806,1y
1995-02,0.465856990417131,1.09209704559945,0.633244035814461,5.70528662351876,0.357982655394989,1.12568189368579,0.198576241851358,34.7937072022777,0.257837028788496,2.73559189941367,32.058115302864,2.76862180813174,38.0187422810493,0.00731927876022,1y
1995-03,0.467594445344273,1.02545892098883,0.564443745814771,4.94491535216144,0.348849531190761,1.22269437633287,0.178131394598124,33.6845406776626,0.231358730600669,2.55464153695568,31.1298991407069,3.08819497699181,37.1822257798531,0.009508433703486,1y
1995-04,0.567642207521927,1.08964467847157,0.524386616720396,4.79568931264227,0.390145424873088,1.27396398686727,0.171939736823933,31.5547840586307,0.222748319856794,2.40109491203088,29.1536891465998,4.7714694820749,36.7209415973863,0.011288259635288,1y
