date,npp,photo,ar,evapm,cleaf,cwood,croot,csap,cheart,csto
1995-04,0.5676422075219272,1.0896446784715683,0.5243866167203962,1.273963986867267,0.1719397368239326,31.554784058630656,0.2227483198567943,2.401094912030885,29.15368914659977,4.771469482074903
1995-05,0.6286163151388596,1.2573972918850485,0.6391964253845289,1.241939931729649,0.2032004688135169,30.78540323563263,0.2643828433538398,2.924862587244809,27.86054064838782,4.9861887293336595
1995-06,0.5835424884008042,1.17400676580741,0.5987466470992506,1.241202025866337,0.18911561335187255,28.413013826587246,0.24576597868379943,2.7145466583715914,25.69846716821565,5.552353677343442
1995-07,0.5757480173773831,1.2530924060403599,0.6835699823183039,1.1006303400259656,0.21743763760755339,28.940039396406757,0.28223999163072433,3.003736603355703,25.936302793051052,4.825184492186591
1995-08,0.5337786576687747,1.2302318694411285,0.7034076777523485,1.0597690405448001,0.2171726148512777,30.253437731680187,0.2818974694367621,3.086211283739023,27.167226447941168,3.652889577608494
1995-09,0.47723596796906,1.1584355567446067,0.6888977656109465,1.0297909545962345,0.2187889975292926,30.748110659701638,0.2841024213089355,2.9374225336457047,27.81068812605593,3.274754247818463
1995-10,0.4193203088030815,1.0325022401289625,0.6177916173810705,1.0473360134886314,0.19685448576220557,33.798719053151935,0.2553225961222093,2.6451251711688326,31.1535938819831,2.5296436894559204
1995-11,0.47346800592131455,1.0095463555619786,0.5405223996057543,1.1308501019319968,0.1742731989866805,32.4149591855929,0.22600084780634538,2.4345994839951626,29.98035970159774,3.1515223276154325
1995-12,0.5356401357281486,1.0787080468520058,0.5480837443545427,1.145008823491483,0.17492368764378155,31.141277242048453,0.22679584910264503,2.512142777773142,28.629134464275314,4.385229146865709
1996-01,0.634094074742457,1.2360025370792496,0.606642270490772,1.1936990052856895,0.18807927078495165,30.554911885893983,0.24417231180242346,2.7606088734622394,27.794303012431747,4.95611322989866
1996-02,0.73834026510752,1.3099786851634507,0.5792479028343256,1.208909917587198,0.18842237938363768,27.193106459745426,0.24476773577786817,2.5558370118019336,24.637269447943492,7.189518007808584
1996-03,0.8613180930382589,1.547872028252779,0.7024660342422516,1.183645156184071,0.22123696204936472,29.058618954409418,0.28842972005759787,3.2015341055041273,25.85708484890529,8.101099266432344
1996-04,0.8024670999499458,1.4791296339443814,0.7053313980665686,1.1545323819286066,0.21969814915539862,27.982309964785177,0.28798357694501714,3.2137452854345097,24.768564679350668,8.253710126354907
1996-05,0.8366252881567264,1.5293598019736268,0.706339021964207,1.1679190901877603,0.22175386464447158,29.210349319825088,0.2891297638993896,3.27179022933129,25.938559090493797,7.944254070411571
1996-06,0.6948965921485052,1.332782444389324,0.6608150643694556,1.1526664536078115,0.2058472380430402,30.033783849238453,0.2695427503202456,3.0869620570398655,26.94682179219859,7.3122152501082684
1996-07,0.7058659966904218,1.3420588648840315,0.6465092140446315,1.1117672493655666,0.20645126414851217,30.216614944776087,0.2685576369923119,2.978988672815873,27.237626271960213,6.929705155238249
1996-08,0.6903976758050909,1.3534946251784608,0.6751664752133023,1.1490045221129757,0.2079277761845287,29.8488746171706,0.27069600551265494,3.0709944010267685,26.777880216143828,6.407986757532211
1996-09,0.5424165389760692,1.2032248738321232,0.6696887218553723,1.0916761117768823,0.2009565999760484,29.714438580490143,0.2612143568080653,3.044973144221299,26.669465436268844,5.164545494192153
1996-10,0.5632319183059566,1.208034800619682,0.6485907181983294,1.0591694417911708,0.20600295073399294,28.59992843214941,0.26703166248655574,2.876414351958044,25.723514080191368,4.561749780988142
1996-11,0.502146554247335,1.1620290078421547,0.6693848725071483,1.02756953661989,0.2070311573006887,28.400526887003206,0.2691600411818263,2.962089148524076,25.43843773847913,3.7671154636665367
1996-12,0.5157071748001424,1.1278954087912885,0.6154297409789805,0.9839768636715637,0.19899170530659657,28.372080164201552,0.2578421000639503,2.787261915481463,25.584818248720094,3.8384395282662047
1997-01,0.5180226927768932,1.0864221347435312,0.5739589543400916,1.0511988910360992,0.18593671420443356,27.54006211481719,0.24122055700059963,2.590636651185112,24.94942546363208,3.9425407507015757
