date,npp,photo,ar,lai,f5,evapm,cleaf,cwood,croot,csap,cheart,csto,ctotal,wue,ls
1979,1.7287245579821815,2.522863537284052,0.8496049762985444,7.413477085334357,0.8821517267512246,1.7411876928667833,0.25579926512489637,33.44291703168719,0.3385145885054505,3.864297672786568,29.578619358900617,22.848088337508287,56.88531922282583,0.006668910634514088,58.0
1980,1.7236935586719202,2.521581140848659,0.8554607901816246,7.380705411799467,0.8789594674235576,1.7267160137478685,0.25784968508003375,34.83806028182338,0.34139906217043337,3.8901596200145434,30.947900661808834,22.854152819943636,58.291461849017495,0.006530330957578279,58.0
1981,1.7502768358356062,2.5403597785849974,0.8453425684772905,7.421922997795499,0.881704841020424,1.71635572349146,0.2567698210464739,33.92955256312938,0.3397535698282001,3.8540652336266135,30.075487329502767,23.375392487164483,57.90146844116854,0.0066942663014689105,58.0
1982,1.7150644945686462,2.525552994992749,0.8684460963652696,7.5422517336828365,0.8729827430599972,1.7006147084117922,0.26090982681378283,34.66520475830895,0.34549315032689665,3.9679262576868837,30.697278500622076,22.302309189148986,57.57391692459863,0.006973715973551329,58.0
1983,1.7259736933439769,2.5159253486628503,0.8455531808265924,7.351352934638076,0.8732363457593051,1.7433455382536196,0.2548696943647162,34.45712819785363,0.3373121578403174,3.846057934994598,30.611070262859027,22.969738177780737,58.019048227839406,0.006360133778501715,58.0
1984,1.7981796397874712,2.5930958490435057,0.8510256947717469,7.532585517595888,0.8925026783657325,1.6535298781075338,0.2619003177816624,31.774656682612953,0.3466025111428902,3.8666048889655347,27.908051793647417,24.014850659576904,56.39801017111441,0.007848493192818749,58.0
1985,1.7938287832817,2.589264287040536,0.8495853908823593,7.519019101442866,0.8903095559032009,1.6659850072758209,0.26021216111223433,32.93384107170448,0.34415509861308957,3.870964917054568,29.062876154649906,23.911922346352746,57.450130677782546,0.00838052012517859,58.0
1986,1.7808342674954885,2.575840322427036,0.8512898408099352,7.456451112617619,0.8858168548063263,1.6630411350390188,0.2602016532900927,32.8903586663895,0.34438258538430466,3.8840602185751414,29.00629844781436,23.850166019633466,57.34510892469737,0.008739816123541622,58.0
1987,1.6965241978604217,2.5372288558884453,0.9045053186852995,7.633807126288648,0.8674875653856917,1.7023493031655155,0.2642034353527285,35.437081224029505,0.3504654324959487,4.0784129442704256,31.358668279759083,21.999365809465136,58.05111590134333,0.008022268111749751,58.0
1988,1.7905204339068614,2.5934275415421766,0.8579037342448992,7.3825026051052385,0.8814713128951781,1.6910389807757382,0.2565309141209669,35.9852064955977,0.33918627659220835,3.9200960494317836,32.065110446165924,23.779266186072498,60.36018987238339,0.008087804527628173,58.0
1989,1.799600391218701,2.5815366947261933,0.8356733881458454,7.353753806256633,0.8850463206762259,1.6722933672134737,0.2571530984208256,33.00074604173273,0.3401237487592284,3.7992711888949917,29.20147485283774,24.517663551767665,58.11568644068046,0.008660053545932148,58.0
1990,1.7523208647611517,2.5957892085548107,0.9069589192850446,7.758231464105436,0.8742511834569161,1.6859231612371937,0.26843514962928244,34.252572722013916,0.3559086049093872,4.10298207359766,30.149590648416257,22.736978237332615,57.6138947138852,0.0070854494499852875,58.0
1991,1.7400287307285511,2.545913365348271,0.8626553802403091,7.432780524222296,0.8648973485699271,1.7170184112492644,0.2573625741504986,34.00066344688596,0.34077955898179657,3.8949412865030517,30.105722160382903,23.150831409602425,57.74963698962068,0.007676173159266238,58.0
1992,1.6317187144526073,2.444796347872427,0.873168363008667,7.448383794495073,0.8229463860840792,1.7019505606437213,0.25579025004998945,37.63795093804437,0.338981293418963,3.9864998729276424,33.651451065116724,21.00006730009515,59.232789781608474,0.006763240945970661,58.0
1993,1.7021397113442416,2.503532995142264,0.8597627173692222,7.414029000921114,0.8423127153966375,1.6627180764671627,0.2563481361922372,37.60592062697864,0.33944413182412536,3.9476400979269615,33.65828052905167,22.594479247735222,60.79619214273023,0.007658289997549973,58.0
1994,1.7257720543987676,2.5214027910545656,0.8507853307283593,7.320204318608798,0.8495875436588115,1.6726872419033236,0.25557041028485206,37.05107042834903,0.3381145064850691,3.8870834946849566,33.16398693366407,22.75988689861438,60.404642243733335,0.00846052925139877,58.0
1995,1.706216469849123,2.5319095699340477,0.8843597631920225,7.477519230627517,0.8444143652649342,1.7136606228374454,0.2603259702352689,37.638151215416414,0.3447112979864856,4.003262894820656,33.634888320595756,22.169560826971004,60.41274931060918,0.007497872751417902,58.0
1996,1.8092243780612867,2.6218387141151274,0.8704196179817899,7.474089511073613,0.8755344834103972,1.678736177251545,0.261864314718935,34.46280970109211,0.3466874204283496,3.9371518615940273,30.525657839498084,24.408317086835098,59.4796785230745,0.00846634761770162,58.0
1997,1.662983941880507,2.5102048327614987,0.9095491276720755,7.678370042149547,0.8303733935295387,1.6645625450714816,0.26273141155876073,37.394352503637506,0.34833635092104737,4.12111469512547,33.273237808512036,21.44951975738657,59.454940023503895,0.00764697380091206,58.0
1998,1.5031435622450888,2.322710871551415,0.8794816948645697,7.367362527849627,0.7586310800806458,1.623468738888997,0.2528750501587719,42.73587959365186,0.33516381538107504,4.086719610982618,38.64915998266924,18.933904635310753,62.257823094502456,0.007868600073921836,58.0
1999,1.6399447408296126,2.423739098582523,0.8371806199901365,7.288095719908146,0.7968234068367429,1.5764768397029765,0.25297566039616215,40.244317702199055,0.334456105400588,3.917602183712203,36.32671551848685,21.12868646259233,61.96043593058813,0.00950308929618422,58.0
