date,npp,photo,ar,lai,f5,evapm,cleaf,cwood,croot,csap,cheart,csto,ctotal,wue,ls
1979,1.7287245579821815,2.522863537284052,0.8496049762985444,7.413477085334357,0.8821517267512246,1.7411876928667833,0.25579926512489637,33.44291703168719,0.3385145885054505,3.864297672786568,29.578619358900617,22.848088337508287,56.88531922282583,0.006668910634514088,58.0
1980,1.7449258983567992,2.5393325737608694,0.8504173132118608,7.402432547068506,0.8852657110524925,1.7243524177728342,0.25729472700952166,33.63618838431945,0.3405747749462226,3.8606405742169927,29.77554781010246,23.30467494606937,57.53873283234458,0.00662134017081521,58.0
1981,1.7707100373142326,2.5625170622590283,0.8465429591785746,7.459034906731365,0.888752785433599,1.7112884752031794,0.25779790625109855,33.22973103433709,0.34100431555004035,3.850642999953613,29.379088034383482,23.597338856730186,57.42587211286842,0.006749960385576273,58.0
1982,1.7395412366405019,2.5487547951898275,0.8684452964173578,7.5774638392258975,0.8816563375265415,1.7081200053465888,0.2608660432449674,33.55525092039825,0.3456420356224395,3.951793459908638,29.603457460489615,22.82813205390197,56.98989105316764,0.007060712999451389,58.0
1983,1.7554464077084464,2.5526897019784087,0.8547885372099676,7.406959655712947,0.8835228714983695,1.7341395940885727,0.25758204456457334,33.72613490083666,0.34106117209009384,3.873725374190354,29.85240952664631,23.414555097766655,57.739333215257986,0.0063837105262595254,58.0
1984,1.8020920670600644,2.601319154367051,0.8546864456516099,7.589457164424549,0.8966602341743785,1.6488514280712347,0.2618533246284825,32.27406293269275,0.34650397320409704,3.9059350565480293,28.368127876144722,24.041629424237293,56.92404965476262,0.008130022927884544,58.0
1985,1.8098520621272933,2.6058755148662427,0.8517270535871855,7.563872321377312,0.89541935954742,1.6661610166597167,0.26065187147795177,31.673717248305024,0.34491175660432377,3.868292470589676,27.805424777715352,24.22257476785169,56.501855644239,0.008403567422651904,58.0
1986,1.8186874096467847,2.618592558589639,0.8552087592993809,7.5203539406218205,0.898414706635618,1.6551797693502512,0.2616324323649772,32.49877550704575,0.34616008631589257,3.8969848640104536,28.60179064303529,24.429922622361598,57.536490648088225,0.008791875655414163,58.0
1987,1.763485382459207,2.591298525271546,0.8871550910743312,7.586131722551463,0.8898708099869144,1.724311110587207,0.26269161407980096,34.27058002226067,0.34791504289588193,3.973716509181277,30.29686351307939,23.427487446813604,58.30867412604996,0.008124737116031334,58.0
1988,1.8133410505125651,2.6227955417062323,0.865991039060108,7.44794363062072,0.8937241709748055,1.6994704466892205,0.25936097886896975,35.23263174983896,0.34316584296953134,3.9464465154631267,31.286185234375832,24.24795294579596,60.08311151747342,0.008164418046893707,58.0
