,YEAR,weighted_mean_g1,weighted_mean_sla,weighted_mean_wd,Source
1,1979,9.71470593294791,29.1329834974023,0.616043427479312,1y
2,1980,9.52786253947405,29.2306491934489,0.616663824731986,1y
3,1981,9.31394058844085,28.2847246185648,0.625586108725501,1y
4,1982,9.56293237021791,29.2676531013435,0.614782526777638,1y
5,1983,9.1797874570874,28.2660375098624,0.619604764737309,1y
6,1984,9.73336094569536,29.2425014926149,0.606888752424427,1y
7,1985,9.55222105773924,29.3648076078545,0.597361229747657,1y
8,1986,9.02395973455541,28.9641330157353,0.616939599136504,1y
9,1987,9.4951866119065,30.4499278530028,0.588349685458478,1y
10,1988,9.08344426391077,30.1730723199168,0.584192521321885,1y
11,1989,9.41157461647845,30.4709412976742,0.57755189473416,1y
12,1990,9.00192208741039,30.1955372162893,0.573850238917509,1y
13,1991,9.07502265854615,30.1230600258207,0.57400201744678,1y
14,1992,8.69081163906147,29.9671101451958,0.591593668122819,1y
15,1993,8.93086171269993,30.0281952436839,0.591775868433858,1y
16,1994,8.64814664929882,30.024059816678,0.55115425296488,1y
17,1995,7.5284957208493,30.5234155273457,0.543604103087567,1y
18,1996,7.21408272928153,30.7868249682108,0.533631448020256,1y
19,1997,7.11323257475308,31.2995577228289,0.438363224676778,1y
20,1998,1.31360394483302,32.6665622178327,0.486872393414474,1y
21,1999,1.11390306152204,31.1610970974573,0.499806452423841,1y
22,2000,1.38491014023269,30.8490286617529,0.482315355402168,1y
23,2001,1.20724848313664,31.0329704366448,0.486989021722993,1y
24,2002,0.969337687785547,32.5326944152257,0.486128173961019,1y
25,2003,0.873076133108974,32.1829574478844,0.500644891909227,1y
26,2004,0.464689776361821,31.5185106114656,0.552372687483258,1y
27,2005,0.371215650686089,32.2245493796167,0.478224924447666,1y
28,2006,0,0,0,1y
29,2007,0,0,0,1y
30,2008,0,0,0,1y
31,2009,0,0,0,1y
32,2010,0,0,0,1y
33,2011,0,0,0,1y
34,2012,0,0,0,1y
35,2013,0,0,0,1y
36,2014,0,0,0,1y
37,2015,0,0,0,1y
38,2016,0,0,0,1y
