,YEAR,weighted_mean_g1,weighted_mean_sla,weighted_mean_wd,Source,,,
1,1979,9.71470593294791,29.1329834974023,0.616043427479312,regclim,0.503017390946607,-4.60015708300627,2.55743036050832
2,1980,9.36254804522574,29.0835414786863,0.614615912721633,regclim,,,
3,1981,9.68280137229092,28.4888052208382,0.626354837188921,regclim,,,
4,1982,9.17382790693566,29.065018908694,0.605951245996048,regclim,,,
5,1983,9.38997861472379,28.8748874134403,0.624169898563876,regclim,,,
6,1984,9.50951345274373,28.9391913789737,0.608383152846167,regclim,,,
7,1985,9.45588860111538,29.4281456746386,0.617971019711088,regclim,,,
8,1986,9.59009966872416,28.2671353522379,0.630204922502014,regclim,,,
9,1987,9.57708161755539,28.7934948706854,0.614028676960073,regclim,,,
10,1988,9.14067933670972,28.027159527425,0.635784303506922,regclim,,,
11,1989,9.14427819077376,28.31722891656,0.62402726878703,regclim,,,
12,1990,9.41798012600936,28.8607639791974,0.614811184444852,regclim,,,
13,1991,9.24908990470844,29.0891052429827,0.606846865858836,regclim,,,
14,1992,9.61707024074618,28.7425241956313,0.616844508903948,regclim,,,
15,1993,9.16356137228132,29.4636047130713,0.608988844830045,regclim,,,
16,1994,9.38137349188573,28.7643182260937,0.60767964316949,regclim,,,
17,1995,9.21514375270108,27.8031364285028,0.629093576645735,regclim,,,
18,1996,9.15420243567515,27.9765282550591,0.632985517019405,regclim,,,
19,1997,9.76909815961674,29.2852567740597,0.606116664261867,regclim,,,
20,1998,9.43298978332792,28.5809330719836,0.623389430239462,regclim,,,
21,1999,9.30816746680508,28.7359633826032,0.619468330930968,regclim,,,
22,2000,9.77759196189852,28.4223742734097,0.623474250163376,regclim,,,
23,2001,9.18148844534972,28.2448842219028,0.623396897730411,regclim,,,
24,2002,9.48773997745875,29.1093358076116,0.609668110468092,regclim,,,
25,2003,9.81822640997909,28.1525230422304,0.626522395393356,regclim,,,
26,2004,9.73842000361431,29.2452839417453,0.611683341885154,regclim,,,
27,2005,8.92472545277512,28.2771068036018,0.633274702315421,regclim,,,
28,2006,9.27645316921168,28.4249429923838,0.617554057475297,regclim,,,
29,2007,9.30021232294656,28.7233033611493,0.617201479647467,regclim,,,
30,2008,9.35821313570624,27.4624512910498,0.642873605291973,regclim,,,
31,2009,9.39319066079095,29.3670271580156,0.592451552038216,regclim,,,
32,2010,9.32515134217531,28.0152794639564,0.627653545016528,regclim,,,
33,2011,9.30723159613204,28.7161021624114,0.616283904899134,regclim,,,
34,2012,9.28323503090597,28.5164843825707,0.613070443425297,regclim,,,
35,2013,8.81904958712465,27.6720932804335,0.634460592741082,regclim,,,
36,2014,8.94346263777961,28.030789563973,0.618479205701697,regclim,,,
37,2015,9.09523624992934,28.5686370448337,0.621441884253293,regclim,,,
38,2016,9.76357259326996,27.7928204935555,0.631798309127584,regclim,,,
