"timeindex","ar1","sd","sk","kurt","cv","returnrate","densratio","acf1","frequency"
30,0.300929207224007,0.104598911416674,0.324155072786163,1.99000580648282,18.3422989635507,3.32304068862154,2.51238514233484,0.237713220814286,"5"
31,0.237360968431926,0.104483352271318,0.257504433927786,1.97230086986307,13.137967245558,4.21299258511745,2.5082544312671,0.23729326355377,"5"
32,0.164854542233366,0.105887853495383,0.600970502550589,2.14800866544473,-15.4487673255581,6.06595357611933,1.82428157265585,0.155514853411746,"5"
33,0.0819801554681084,0.116500835710257,0.580876708587056,1.87403886838139,109.841807787773,12.1980739642415,1.27415211707358,0.0626282259557898,"5"
34,0.011066466509723,0.117524627821111,0.593239929654251,1.85577800977551,-212.112013596047,90.3630801323442,1.04186556806366,0.0105784604933213,"5"
35,-0.254825570604816,0.118113981603791,0.585234315160473,1.82861570670201,-11492.2988820692,-3.92425296106097,0.404464187687482,-0.226867656057883,"5"
36,-0.466433195401896,0.101966244579898,0.978915120090038,2.66296687407035,-3.40046957701966,-2.14392974140351,0.160413940930482,-0.433291296798669,"5"
37,-0.490340472085368,0.103445581107292,0.770483518754537,2.31115134707663,-4.32378184094571,-2.03939926832289,0.128318927985854,-0.477695643341583,"5"
38,-0.479638693077022,0.110908227884553,0.344411807216983,1.66416054049222,100.550690992094,-2.08490268703033,0.194605310008654,-0.393029967480596,"5"
39,-0.339577188233944,0.115657269993101,0.0283993556369471,1.43075350836715,6.09999437507335,-2.94483856586702,0.287366677632929,-0.306998089745919,"5"
40,-0.460594508143418,0.102535638797408,0.0301915549794219,1.54253356478203,3.19090786132859,-2.17110708512535,0.145218411954154,-0.453371850532871,"5"
41,-0.411092072058231,0.109186912063007,0.115348576886344,1.35915596634729,4.92248558589037,-2.43254508653806,0.220612898625296,-0.366022230443158,"5"
42,-0.0630342947440345,0.116925220053853,0.0138178550974838,1.42335175097037,7.21893356203967,-15.8643799230361,0.822569821562757,-0.0501636761946609,"5"
43,0.0286948242949955,0.104421604187823,0.0326543412997398,1.55913554413072,31.4294712952141,34.849490267637,1.11565995420866,0.0282546289682305,"5"
44,0.0942418646688427,0.104343586026115,0.0316155660258632,1.56184741285159,30.5366447178571,10.6109954797044,1.40815273368872,0.0885300922672462,"5"
45,0.274508143893816,0.0963683068451685,0.279201023169882,1.94182936604771,-9.9365796952062,3.6428791722362,2.90289217374748,0.274453035194477,"5"
